id,name,initials,lastname,firstname,class
4000000,Su X,,,,org.intermine.model.bio.Author
4000001,Kirkman LA,,,,org.intermine.model.bio.Author
4000002,Fujioka H,,,,org.intermine.model.bio.Author
4000003,Wellems TE,,,,org.intermine.model.bio.Author
4000004,Bickle Q,,,,org.intermine.model.bio.Author
4000005,Coppel RL,,,,org.intermine.model.bio.Author
4000006,Fan Q,,,,org.intermine.model.bio.Author
4000007,An L,,,,org.intermine.model.bio.Author
4000008,Cui L,,,,org.intermine.model.bio.Author
4000009,Schnick C,,,,org.intermine.model.bio.Author
4000010,Brannigan JA,,,,org.intermine.model.bio.Author
4000011,Kyes SA,,,,org.intermine.model.bio.Author
4000012,Smith DJ,,,,org.intermine.model.bio.Author
4000013,Wilkinson AJ,,,,org.intermine.model.bio.Author
4000014,Boucher IW,,,,org.intermine.model.bio.Author
4000015,Brzozowski AM,,,,org.intermine.model.bio.Author
4000016,Peterson MG,,,,org.intermine.model.bio.Author
4000017,Smythe JA,,,,org.intermine.model.bio.Author
4000018,Kemp DJ,,,,org.intermine.model.bio.Author
4000019,Saul AJ,,,,org.intermine.model.bio.Author
4000020,Anders RF,,,,org.intermine.model.bio.Author
4000021,Silva AM,,,,org.intermine.model.bio.Author
4000022,Ellman JA,,,,org.intermine.model.bio.Author
4000023,Haque TS,,,,org.intermine.model.bio.Author
4000024,Gulnik SV,,,,org.intermine.model.bio.Author
4000025,Asojo OA,,,,org.intermine.model.bio.Author
4000026,Yu B,,,,org.intermine.model.bio.Author
4000027,Afonina E,,,,org.intermine.model.bio.Author
4000028,Berriman M,,,,org.intermine.model.bio.Author
4000029,Churcher C,,,,org.intermine.model.bio.Author
4000030,Hall N,,,,org.intermine.model.bio.Author
4000031,Pain A,,,,org.intermine.model.bio.Author
4000032,Mungall K,,,,org.intermine.model.bio.Author
4000033,Bowman S,,,,org.intermine.model.bio.Author
4000034,Harris B,,,,org.intermine.model.bio.Author
4000035,Harris D,,,,org.intermine.model.bio.Author
4000036,Barron A,,,,org.intermine.model.bio.Author
4000037,Brooks K,,,,org.intermine.model.bio.Author
4000038,Atkin R,,,,org.intermine.model.bio.Author
4000039,Baker S,,,,org.intermine.model.bio.Author
4000040,Chillingworth C,,,,org.intermine.model.bio.Author
4000041,Cherevach I,,,,org.intermine.model.bio.Author
4000042,Burrows C,,,,org.intermine.model.bio.Author
4000043,Buckee CO,,,,org.intermine.model.bio.Author
4000044,Clark R,,,,org.intermine.model.bio.Author
4000045,Clark L,,,,org.intermine.model.bio.Author
4000046,Christodoulou Z,,,,org.intermine.model.bio.Author
4000047,Chillingworth T,,,,org.intermine.model.bio.Author
4000048,Davis P,,,,org.intermine.model.bio.Author
4000049,Davies R,,,,org.intermine.model.bio.Author
4000050,Cronin A,,,,org.intermine.model.bio.Author
4000051,Corton C,,,,org.intermine.model.bio.Author
4000052,Feltwell T,,,,org.intermine.model.bio.Author
4000053,Doggett J,,,,org.intermine.model.bio.Author
4000054,Dearden F,,,,org.intermine.model.bio.Author
4000055,Dear P,,,,org.intermine.model.bio.Author
4000056,Hance Z,,,,org.intermine.model.bio.Author
4000057,Harper D,,,,org.intermine.model.bio.Author
4000058,Hauser H,,,,org.intermine.model.bio.Author
4000059,Hornsby T,,,,org.intermine.model.bio.Author
4000060,Goble A,,,,org.intermine.model.bio.Author
4000061,Goodhead I,,,,org.intermine.model.bio.Author
4000062,Gwilliam R,,,,org.intermine.model.bio.Author
4000063,Hamlin N,,,,org.intermine.model.bio.Author
4000064,James KD,,,,org.intermine.model.bio.Author
4000065,Johnson D,,,,org.intermine.model.bio.Author
4000066,Kerhornou A,,,,org.intermine.model.bio.Author
4000067,Knights A,,,,org.intermine.model.bio.Author
4000068,Holroyd S,,,,org.intermine.model.bio.Author
4000069,Horrocks P,,,,org.intermine.model.bio.Author
4000070,Humphray S,,,,org.intermine.model.bio.Author
4000071,Jagels K,,,,org.intermine.model.bio.Author
4000072,Line A,,,,org.intermine.model.bio.Author
4000073,Lennard N,,,,org.intermine.model.bio.Author
4000074,McLean J,,,,org.intermine.model.bio.Author
4000075,Maddison M,,,,org.intermine.model.bio.Author
4000076,Kyes S,,,,org.intermine.model.bio.Author
4000077,Konfortov B,,,,org.intermine.model.bio.Author
4000078,Lawson D,,,,org.intermine.model.bio.Author
4000079,Larke N,,,,org.intermine.model.bio.Author
4000080,Price C,,,,org.intermine.model.bio.Author
4000081,Ormond D,,,,org.intermine.model.bio.Author
4000082,Rabbinowitsch E,,,,org.intermine.model.bio.Author
4000083,Quail MA,,,,org.intermine.model.bio.Author
4000084,Moule S,,,,org.intermine.model.bio.Author
4000085,Mooney P,,,,org.intermine.model.bio.Author
4000086,Oliver K,,,,org.intermine.model.bio.Author
4000087,Murphy L,,,,org.intermine.model.bio.Author
4000088,Sharp S,,,,org.intermine.model.bio.Author
4000089,Smith R,,,,org.intermine.model.bio.Author
4000090,Simmonds M,,,,org.intermine.model.bio.Author
4000091,Seeger K,,,,org.intermine.model.bio.Author
4000092,Rutherford KM,,,,org.intermine.model.bio.Author
4000093,Sanders M,,,,org.intermine.model.bio.Author
4000094,Rajandream MA,,,,org.intermine.model.bio.Author
4000095,Rutter S,,,,org.intermine.model.bio.Author
4000096,Whitehead S,,,,org.intermine.model.bio.Author
4000097,Woodward J,,,,org.intermine.model.bio.Author
4000098,Tivey A,,,,org.intermine.model.bio.Author
4000099,Unwin L,,,,org.intermine.model.bio.Author
4000100,Stevens K,,,,org.intermine.model.bio.Author
4000101,Taylor K,,,,org.intermine.model.bio.Author
4000102,Squares R,,,,org.intermine.model.bio.Author
4000103,Squares S,,,,org.intermine.model.bio.Author
4000104,Barrell BG,,,,org.intermine.model.bio.Author
4000105,Newbold C,,,,org.intermine.model.bio.Author
4000106,Craig A,,,,org.intermine.model.bio.Author
4000107,Sulston JE,,,,org.intermine.model.bio.Author
4000108,Haft D,,,,org.intermine.model.bio.Author
4000109,Selengut J,,,,org.intermine.model.bio.Author
4000110,Vaidya AB,,,,org.intermine.model.bio.Author
4000111,Mather MW,,,,org.intermine.model.bio.Author
4000112,Fairlamb AH,,,,org.intermine.model.bio.Author
4000113,Martin DM,,,,org.intermine.model.bio.Author
4000114,Roos DS,,,,org.intermine.model.bio.Author
4000115,Fraunholz MJ,,,,org.intermine.model.bio.Author
4000116,Nene V,,,,org.intermine.model.bio.Author
4000117,Chan MS,,,,org.intermine.model.bio.Author
4000118,Suh B,,,,org.intermine.model.bio.Author
4000119,Shallom SJ,,,,org.intermine.model.bio.Author
4000120,Angiuoli S,,,,org.intermine.model.bio.Author
4000121,Peterson J,,,,org.intermine.model.bio.Author
4000122,Allen J,,,,org.intermine.model.bio.Author
4000123,Pertea M,,,,org.intermine.model.bio.Author
4000124,Davis RW,,,,org.intermine.model.bio.Author
4000125,Fraser CM,,,,org.intermine.model.bio.Author
4000126,Barrell B,,,,org.intermine.model.bio.Author
4000127,Ralph SA,,,,org.intermine.model.bio.Author
4000128,McFadden GI,,,,org.intermine.model.bio.Author
4000129,Cummings LM,,,,org.intermine.model.bio.Author
4000130,Subramanian GM,,,,org.intermine.model.bio.Author
4000131,Mungall C,,,,org.intermine.model.bio.Author
4000132,Venter JC,,,,org.intermine.model.bio.Author
4000133,Carucci DJ,,,,org.intermine.model.bio.Author
4000134,Hoffman SL,,,,org.intermine.model.bio.Author
4000135,White O,,,,org.intermine.model.bio.Author
4000136,Fung E,,,,org.intermine.model.bio.Author
4000137,Gardner MJ,,,,org.intermine.model.bio.Author
4000138,Salzberg SL,,,,org.intermine.model.bio.Author
4000139,Rutherford K,,,,org.intermine.model.bio.Author
4000140,Eisen JA,,,,org.intermine.model.bio.Author
4000141,James K,,,,org.intermine.model.bio.Author
4000142,Paulsen IT,,,,org.intermine.model.bio.Author
4000143,Nelson KE,,,,org.intermine.model.bio.Author
4000144,Carlton JM,,,,org.intermine.model.bio.Author
4000145,Hyman RW,,,,org.intermine.model.bio.Author
4000146,Sarma GN,,,,org.intermine.model.bio.Author
4000147,Nickel C,,,,org.intermine.model.bio.Author
4000148,Rahlfs S,,,,org.intermine.model.bio.Author
4000149,Fischer M,,,,org.intermine.model.bio.Author
4000150,Karplus PA,,,,org.intermine.model.bio.Author
4000151,Becker K,,,,org.intermine.model.bio.Author
4000152,Hol WG,,,,org.intermine.model.bio.Author
4000153,Pei D,,,,org.intermine.model.bio.Author
4000154,Robien MA,,,,org.intermine.model.bio.Author
4000155,Turley S,,,,org.intermine.model.bio.Author
4000156,Hirsh I,,,,org.intermine.model.bio.Author
4000157,Kumar A,,,,org.intermine.model.bio.Author
4000158,Nguyen KT,,,,org.intermine.model.bio.Author
4000159,Shahabuddin M,,,,org.intermine.model.bio.Author
4000160,Kaslow DC,,,,org.intermine.model.bio.Author
4000161,Rawlings DJ,,,,org.intermine.model.bio.Author
4000162,Lasonder E,,,,org.intermine.model.bio.Author
4000163,Vermunt AM,,,,org.intermine.model.bio.Author
4000164,Sauerwein RW,,,,org.intermine.model.bio.Author
4000165,Ishihama Y,,,,org.intermine.model.bio.Author
4000166,Andersen JS,,,,org.intermine.model.bio.Author
4000167,Stunnenberg HG,,,,org.intermine.model.bio.Author
4000168,Mann M,,,,org.intermine.model.bio.Author
4000169,Eling WM,,,,org.intermine.model.bio.Author
4000170,Waters AP,,,,org.intermine.model.bio.Author
4000171,Nau U,,,,org.intermine.model.bio.Author
4000172,Hundt E,,,,org.intermine.model.bio.Author
4000173,Knapp B,,,,org.intermine.model.bio.Author
4000174,Küpper HA,,,,org.intermine.model.bio.Author
4000175,Trottein F,,,,org.intermine.model.bio.Author
4000176,Cowman AF,,,,org.intermine.model.bio.Author
4000177,Lanzer M,,,,org.intermine.model.bio.Author
4000178,Krohne G,,,,org.intermine.model.bio.Author
4000179,Wickert H,,,,org.intermine.model.bio.Author
4000180,Scherer SJ,,,,org.intermine.model.bio.Author
4000181,Rohrbach P,,,,org.intermine.model.bio.Author
4000182,Surolia N,,,,org.intermine.model.bio.Author
4000183,Kapoor M,,,,org.intermine.model.bio.Author
4000184,Suguna K,,,,org.intermine.model.bio.Author
4000185,Surolia A,,,,org.intermine.model.bio.Author
4000186,Pidugu LS,,,,org.intermine.model.bio.Author
4000187,Sharma A,,,,org.intermine.model.bio.Author
4000188,Kogkasuriyachai D,,,,org.intermine.model.bio.Author
4000189,Sharma I,,,,org.intermine.model.bio.Author
4000190,Kumar N,,,,org.intermine.model.bio.Author
4000191,Furneaux RH,,,,org.intermine.model.bio.Author
4000192,Kim K,,,,org.intermine.model.bio.Author
4000193,Almo SC,,,,org.intermine.model.bio.Author
4000194,Schramm VL,,,,org.intermine.model.bio.Author
4000195,Kicska GA,,,,org.intermine.model.bio.Author
4000196,Lewandowicz A,,,,org.intermine.model.bio.Author
4000197,Tyler PC,,,,org.intermine.model.bio.Author
4000198,Evans GB,,,,org.intermine.model.bio.Author
4000199,Shi W,,,,org.intermine.model.bio.Author
4000200,Ting LM,,,,org.intermine.model.bio.Author
4000201,Srivathsan S,,,,org.intermine.model.bio.Author
4000202,Ornstein B,,,,org.intermine.model.bio.Author
4000203,Fletterick R,,,,org.intermine.model.bio.Author
4000204,Sakowicz R,,,,org.intermine.model.bio.Author
4000205,Milligan R,,,,org.intermine.model.bio.Author
4000206,Anderson R,,,,org.intermine.model.bio.Author
4000207,Moores C,,,,org.intermine.model.bio.Author
4000208,Turner J,,,,org.intermine.model.bio.Author
4000209,Hekmat-Nejad M,,,,org.intermine.model.bio.Author
4000210,Shipley K,,,,org.intermine.model.bio.Author
4000211,Kitade Y,,,,org.intermine.model.bio.Author
4000212,Ito Y,,,,org.intermine.model.bio.Author
4000213,Yabe S,,,,org.intermine.model.bio.Author
4000214,Shiraiwa K,,,,org.intermine.model.bio.Author
4000215,Kusakabe Y,,,,org.intermine.model.bio.Author
4000216,Nakanishi M,,,,org.intermine.model.bio.Author
4000217,Tanaka N,,,,org.intermine.model.bio.Author
4000218,Nakamura KT,,,,org.intermine.model.bio.Author
4000219,Kaczanowski S,,,,org.intermine.model.bio.Author
4000220,Zielenkiewicz P,,,,org.intermine.model.bio.Author
4000221,Skelton J,,,,org.intermine.model.bio.Author
4000222,Woodward JR,,,,org.intermine.model.bio.Author
4000223,Gentles S,,,,org.intermine.model.bio.Author
4000224,Jassal B,,,,org.intermine.model.bio.Author
4000225,Davies RM,,,,org.intermine.model.bio.Author
4000226,Devlin K,,,,org.intermine.model.bio.Author
4000227,Brown D,,,,org.intermine.model.bio.Author
4000228,Churcher CM,,,,org.intermine.model.bio.Author
4000229,Basham D,,,,org.intermine.model.bio.Author
4000230,Berger BJ,,,,org.intermine.model.bio.Author
4000231,Gafan C,,,,org.intermine.model.bio.Author
4000232,Wilson J,,,,org.intermine.model.bio.Author
4000233,Berger LC,,,,org.intermine.model.bio.Author
4000234,Matilla A,,,,org.intermine.model.bio.Author
4000235,Radrizzani M,,,,org.intermine.model.bio.Author
4000236,Creedon KA,,,,org.intermine.model.bio.Author
4000237,Rathod PK,,,,org.intermine.model.bio.Author
4000238,Li JL,,,,org.intermine.model.bio.Author
4000239,Baker DA,,,,org.intermine.model.bio.Author
4000240,Cox LS,,,,org.intermine.model.bio.Author
4000241,van Aalten DM,,,,org.intermine.model.bio.Author
4000242,Müller S,,,,org.intermine.model.bio.Author
4000243,Urch JE,,,,org.intermine.model.bio.Author
4000244,Wickramasinghe SR,,,,org.intermine.model.bio.Author
4000245,Inglis KA,,,,org.intermine.model.bio.Author
4000246,Bell A,,,,org.intermine.model.bio.Author
4000247,Franklin RM,,,,org.intermine.model.bio.Author
4000248,Färber PM,,,,org.intermine.model.bio.Author
4000249,Hirtzlin J,,,,org.intermine.model.bio.Author
4000250,Holloway SP,,,,org.intermine.model.bio.Author
4000251,Read M,,,,org.intermine.model.bio.Author
4000252,Hicks KE,,,,org.intermine.model.bio.Author
4000253,Hyde JE,,,,org.intermine.model.bio.Author
4000254,Sims PF,,,,org.intermine.model.bio.Author
4000255,Pybus B,,,,org.intermine.model.bio.Author
4000256,Muccio DD,,,,org.intermine.model.bio.Author
4000257,Chattopadhyay D,,,,org.intermine.model.bio.Author
4000258,Pal B,,,,org.intermine.model.bio.Author
4000259,Medzihradszky KF,,,,org.intermine.model.bio.Author
4000260,Darula Z,,,,org.intermine.model.bio.Author
4000261,Perlson E,,,,org.intermine.model.bio.Author
4000262,Fainzilber M,,,,org.intermine.model.bio.Author
4000263,Chalkley RJ,,,,org.intermine.model.bio.Author
4000264,Ball H,,,,org.intermine.model.bio.Author
4000265,Greenbaum D,,,,org.intermine.model.bio.Author
4000266,Bogyo M,,,,org.intermine.model.bio.Author
4000267,Tyson DR,,,,org.intermine.model.bio.Author
4000268,Bradshaw RA,,,,org.intermine.model.bio.Author
4000269,Burlingame AL,,,,org.intermine.model.bio.Author
4000270,Delves CJ,,,,org.intermine.model.bio.Author
4000271,Gerousis M,,,,org.intermine.model.bio.Author
4000272,Scaife JG,,,,org.intermine.model.bio.Author
4000273,Adams MD,,,,org.intermine.model.bio.Author
4000274,Clayton R,,,,org.intermine.model.bio.Author
4000275,Smith HO,,,,org.intermine.model.bio.Author
4000276,Zhou L,,,,org.intermine.model.bio.Author
4000277,Sutton GG,,,,org.intermine.model.bio.Author
4000278,Schwartz DC,,,,org.intermine.model.bio.Author
4000279,Salzberg S,,,,org.intermine.model.bio.Author
4000280,Aravind L,,,,org.intermine.model.bio.Author
4000281,Tettelin H,,,,org.intermine.model.bio.Author
4000282,Shallom S,,,,org.intermine.model.bio.Author
4000283,Koonin EV,,,,org.intermine.model.bio.Author
4000284,Yu K,,,,org.intermine.model.bio.Author
4000285,Mason T,,,,org.intermine.model.bio.Author
4000286,Pederson J,,,,org.intermine.model.bio.Author
4000287,Fujii C,,,,org.intermine.model.bio.Author
4000288,Jing J,,,,org.intermine.model.bio.Author
4000289,Shen K,,,,org.intermine.model.bio.Author
4000290,Lai Z,,,,org.intermine.model.bio.Author
4000291,Aston C,,,,org.intermine.model.bio.Author
4000292,LeBlanc SB,,,,org.intermine.model.bio.Author
4000293,Wilson CM,,,,org.intermine.model.bio.Author
