protein,comments
1000028,1000007
1000028,1000008
1000028,1000009
1000028,1000010
1000091,1000085
1000110,1000098
1000110,1000099
1000139,1000129
1000139,1000130
1000139,1000131
1000150,1000143
1000150,1000144
1000164,1000154
1000206,1000188
1000206,1000189
1000230,1000221
1000230,1000222
1000230,1000223
1000240,1000234
1000249,1000243
1000249,1000244
1000265,1000256
1000265,1000257
1000265,1000258
1000265,1000259
1000277,1000271
1000277,1000272
1000277,1000273
1000288,1000281
1000288,1000282
1000288,1000283
1000288,1000284
1000314,1000304
1000314,1000305
1000314,1000306
1000314,1000307
1000381,1000376
1000399,1000387
1000399,1000388
1000399,1000389
1000399,1000390
1000399,1000391
1000433,1000424
1000433,1000425
1000445,1000436
1000445,1000437
1000445,1000438
1000497,1000485
1000497,1000486
1000497,1000487
1000497,1000488
1000515,1000506
1000515,1000507
1000515,1000508
1000515,1000509
1000535,1000528
1000551,1000538
1000551,1000539
1000551,1000540
1000551,1000541
1000551,1000542
1000566,1000559
1000579,1000571
1000579,1000572
1000579,1000573
1000588,1000583
1000588,1000584
1000603,1000599
1000615,1000607
1000615,1000608
1000615,1000609
1000626,1000622
1000635,1000630
1000646,1000638
1000646,1000639
1000646,1000640
1000646,1000641
1000666,1000656
1000666,1000657
1000666,1000658
1000666,1000659
1000666,1000660
1000680,1000675
1000680,1000676
1000692,1000687
1000704,1000696
1000704,1000697
1000704,1000698
1000704,1000699
1000704,1000700
1000726,1000714
1000726,1000715
1000726,1000716
1000726,1000717
1000776,1000772
1000784,1000780
1000798,1000791
1000798,1000792
1000798,1000793
1000812,1000807
1000812,1000808
1000830,1000824
1000830,1000825
1000842,1000835
1000842,1000836
1000842,1000837
1000862,1000857
1000862,1000858
1000872,1000866
1000872,1000867
1000872,1000868
1000884,1000878
1000884,1000879
1000896,1000888
1000896,1000889
1000911,1000903
1000911,1000904
1000911,1000905
1000911,1000906
1000926,1000918
1000926,1000919
1000952,1000947
1000952,1000948
1000968,1000962
1000968,1000963
1000968,1000964
1000978,1000973
1000991,1000983
1000991,1000984
1000991,1000985
1000991,1000986
1000991,1000987
1001004,1000998
1001018,1001009
1001018,1001010
1001018,1001011
1001018,1001012
1001091,1001082
1001260,1001257
1001306,1001296
1001320,1001317
1001371,1001368
1001454,1001437
1001549,1001546
1001556,1001551
1001707,1001703
1001786,1001783
1001808,1001805
1001821,1001818
1001891,1001870
1001935,1001931
1001935,1001932
1001973,1001970
1002011,1001990
1002062,1002058
1002082,1002070
1002162,1002157
1002242,1002239
1002270,1002258
1002306,1002303
1002329,1002326
1002362,1002359
1002418,1002399
1002418,1002400
1002418,1002401
1002471,1002453
1002540,1002530
1002581,1002578
1002621,1002607
1002631,1002628
1002640,1002637
1002704,1002700
1002776,1002772
1002827,1002824
1002837,1002834
1002855,1002852
1002979,1002975
1003136,1003131
1003136,1003132
1003240,1003237
1003255,1003251
1003255,1003252
1003275,1003261
1003309,1003303
1003344,1003335
1003375,1003363
1003375,1003364
1003385,1003377
1003478,1003475
1003626,1003616
1003743,1003733
1003793,1003789
1003991,1003988
1004023,1004020
1004083,1004075
1004128,1004125
1004144,1004135
1004164,1004146
1004164,1004147
1004164,1004148
1004172,1004166
1004201,1004184
1004231,1004226
1004279,1004271
1004378,1004374
1004378,1004375
1004495,1004488
1004495,1004489
1004507,1004497
1004518,1004514
1004537,1004525
1004569,1004566
1004623,1004619
1004623,1004620
1004628,1004625
1004697,1004694
1004829,1004815
1004857,1004849
1005049,1005039
1005084,1005076
1005098,1005086
1005098,1005087
1005098,1005088
1005115,1005112
1005140,1005136
1005140,1005137
1005186,1005176
1005216,1005212
1005216,1005213
1005318,1005315
1005396,1005379
1005396,1005380
1005423,1005411
1005436,1005425
1005452,1005448
1005452,1005449
1005511,1005499
1005521,1005517
1005521,1005518
1005548,1005535
1005657,1005654
1005662,1005659
1005743,1005740
1005808,1005805
1005881,1005867
1005881,1005868
1005964,1005958
1006075,1006072
1006080,1006077
1006085,1006082
1006127,1006115
1006202,1006199
1006271,1006268
1006311,1006308
1006325,1006322
1006367,1006357
1006413,1006395
1006488,1006483
1006515,1006507
1006657,1006645
1006657,1006646
1006666,1006663
1006749,1006746
1006851,1006841
1006896,1006882
1006896,1006883
1006896,1006884
1006939,1006929
1007007,1007004
1007022,1007010
1007036,1007024
1007036,1007025
1007077,1007074
1007096,1007093
1007125,1007114
1007125,1007115
1007147,1007137
1007172,1007169
1007183,1007180
1007198,1007186
1007207,1007204
1007445,1007437
1007482,1007464
1007482,1007465
1007506,1007503
1007536,1007530
1007545,1007538
1007575,1007572
1007620,1007607
1007719,1007716
1007745,1007731
1007745,1007732
1007762,1007759
1007793,1007781
1007923,1007920
1008029,1008021
1008095,1008091
1008095,1008092
1008100,1008097
1008115,1008112
1008258,1008255
1008268,1008265
1008305,1008302
1008385,1008382
1008420,1008417
1008482,1008471
1008482,1008472
1008501,1008488
1008710,1008700
1008715,1008712
1008835,1008821
1008835,1008822
1008901,1008895
1008945,1008935
1008980,1008977
1008995,1008983
1009018,1009010
1009039,1009036
1009111,1009096
1009111,1009097
1009122,1009119
1009156,1009137
1009167,1009163
1009167,1009164
1009180,1009177
1009207,1009190
1009282,1009276
1009282,1009277
1009282,1009278
1009402,1009398
1009402,1009399
1009544,1009541
1009553,1009550
1009611,1009600
1009611,1009601
1009611,1009602
1009623,1009613
1009667,1009654
1009740,1009736
1009740,1009737
1009780,1009766
1009780,1009767
1009792,1009782
1009800,1009794
1009820,1009817
1009862,1009848
1009862,1009849
1009889,1009886
1009895,1009891
1009895,1009892
1009908,1009897
1009908,1009898
1009927,1009917
1009956,1009953
1009982,1009979
1010083,1010079
1010083,1010080
1010103,1010095
1010203,1010200
1010231,1010223
1010256,1010253
1010315,1010298
1010315,1010299
1010315,1010300
1010354,1010351
1010433,1010425
1010455,1010452
1010482,1010479
1010543,1010531
1010610,1010604
1010634,1010622
1010652,1010636
1010671,1010668
1010681,1010673
1010686,1010683
1010711,1010701
1010813,1010798
1010813,1010799
1010858,1010850
1010891,1010888
1010988,1010984
1010988,1010985
1011055,1011044
1011055,1011045
1011079,1011071
1011124,1011121
1011240,1011230
1011247,1011242
1011247,1011243
1011247,1011244
1011318,1011308
1011318,1011309
1011318,1011310
1011340,1011330
1011377,1011374
1011416,1011413
1011438,1011433
1011438,1011434
1011481,1011469
1011508,1011505
1011546,1011543
1011558,1011548
1011570,1011560
1011583,1011580
1011699,1011695
1011699,1011696
1011783,1011767
1011842,1011826
1011842,1011827
1011869,1011859
1011926,1011923
1011944,1011932
1012120,1012112
1012179,1012175
1012179,1012176
1012184,1012181
1012199,1012196
1012370,1012360
1012375,1012372
1012390,1012382
1012510,1012507
1012595,1012592
1012616,1012605
1012616,1012606
1012704,1012701
1012736,1012728
1012826,1012823
1012926,1012915
1012926,1012916
1012941,1012938
1013008,1013005
1013052,1013040
1013069,1013054
1013086,1013076
1013121,1013118
1013127,1013123
1013127,1013124
1013160,1013154
1013195,1013192
1013229,1013221
1013314,1013306
1013339,1013336
1013369,1013365
1013369,1013366
1013437,1013433
1013437,1013434
1013455,1013445
1013491,1013486
1013491,1013487
1013491,1013488
1013581,1013562
1013609,1013605
1013693,1013679
1013693,1013680
1013693,1013681
1013735,1013732
1013778,1013772
1013823,1013820
1013833,1013830
1013857,1013854
1013953,1013950
1013966,1013963
1014021,1014003
1014099,1014096
1014127,1014117
1014152,1014140
1014152,1014141
1014152,1014142
1014293,1014283
1014346,1014342
1014346,1014343
1014351,1014348
1014371,1014363
1014442,1014439
1014503,1014487
1014503,1014488
1014503,1014489
1014622,1014619
1014718,1014712
1014732,1014729
1014750,1014735
1014750,1014736
1014768,1014765
1014777,1014774
1014790,1014784
1014833,1014827
1014890,1014887
1014906,1014900
1014906,1014901
1014906,1014902
1014911,1014908
1015128,1015125
1015208,1015198
1015427,1015424
1015460,1015449
1015523,1015520
1015546,1015543
1015555,1015552
1015622,1015604
1015622,1015605
1015622,1015606
1015660,1015657
1015667,1015664
1015685,1015681
1015685,1015682
1015771,1015768
1015837,1015831
1015837,1015832
1015837,1015833
1015837,1015834
1015971,1015967
1015971,1015968
1016073,1016070
1016101,1016098
1016106,1016103
1016123,1016114
1016123,1016115
1016181,1016169
1016225,1016222
1016255,1016242
1016326,1016323
1016423,1016415
1016544,1016527
1016544,1016528
1016544,1016529
1016566,1016560
1016611,1016603
1016628,1016625
1016701,1016691
1016716,1016713
1016732,1016722
1016743,1016739
1016743,1016740
1016928,1016914
1017050,1017047
1017112,1017102
1017154,1017146
1017218,1017215
1017252,1017240
1017269,1017266
1017284,1017271
1017284,1017272
1017296,1017293
1017412,1017399
1017434,1017430
1017434,1017431
1017497,1017483
1017525,1017516
1017673,1017660
1017673,1017661
1017700,1017692
1017741,1017731
1017817,1017807
1017909,1017906
1017916,1017913
1017974,1017968
1018065,1018049
1018170,1018153
1018188,1018185
1018218,1018213
1018218,1018214
1018218,1018215
1018274,1018264
1018295,1018285
1018300,1018297
1018375,1018365
1018396,1018393
1018500,1018489
1018601,1018598
1018606,1018603
1018639,1018629
1018824,1018821
1018836,1018826
1018854,1018851
1018979,1018975
1018979,1018976
1018997,1018994
1019033,1019023
1019117,1019114
1019241,1019229
1019254,1019243
1019254,1019244
1019277,1019266
1019306,1019290
1019306,1019291
1019337,1019333
1019337,1019334
1019458,1019454
1019458,1019455
1019465,1019460
1019465,1019461
1019465,1019462
1019550,1019535
1019550,1019536
1019622,1019619
1019652,1019640
1019735,1019732
1019784,1019781
1019790,1019786
1019790,1019787
1019844,1019834
1019962,1019947
1019981,1019972
1020024,1020014
1020044,1020026
1020108,1020105
1020211,1020199
1020255,1020251
1020255,1020252
1020293,1020290
1020299,1020295
1020299,1020296
1020366,1020362
1020366,1020363
1020385,1020373
1020395,1020392
1020470,1020451
1020489,1020477
1020489,1020478
1020489,1020479
1020554,1020546
1020571,1020565
1020571,1020566
1020571,1020567
1020628,1020622
1020703,1020692
1020802,1020799
1020809,1020806
1020858,1020855
1020897,1020894
1020944,1020934
1020984,1020970
1021043,1021040
1021121,1021104
1021121,1021105
1021208,1021200
1021260,1021256
1021283,1021280
1021301,1021298
1021344,1021336
1021580,1021566
1021580,1021567
1021580,1021568
1021776,1021773
1021843,1021840
1021858,1021855
1021974,1021960
1021993,1021989
1021993,1021990
1022119,1022116
1022128,1022125
1022133,1022130
1022174,1022165
1022207,1022204
1022233,1022218
1022233,1022219
1022314,1022311
1022351,1022341
1022351,1022342
1022351,1022343
1022420,1022410
1022486,1022483
1022496,1022492
1022496,1022493
1022509,1022506
1022527,1022516
1022527,1022517
1022568,1022564
1022568,1022565
1022656,1022645
1022656,1022646
1022790,1022777
1022790,1022778
1022809,1022806
1022843,1022839
1022843,1022840
1022886,1022873
1022886,1022874
1022993,1022981
1023107,1023089
1023229,1023226
1023239,1023235
1023268,1023265
1023365,1023357
1023497,1023494
1023618,1023615
1023623,1023620
1023696,1023688
1023702,1023698
1023714,1023704
1023736,1023725
1023746,1023743
1023757,1023754
1023857,1023854
1023879,1023864
1023986,1023983
1024041,1024038
1024102,1024086
1024102,1024087
1024102,1024088
1024113,1024109
1024113,1024110
1024119,1024116
1024134,1024126
1024143,1024140
1024156,1024153
1024208,1024196
1024220,1024210
1024251,1024243
1024313,1024309
1024313,1024310
1024318,1024315
1024327,1024324
1024380,1024368
1024397,1024393
1024415,1024412
1024432,1024417
1024432,1024418
1024517,1024514
1024634,1024631
1024654,1024651
1024738,1024735
1024753,1024750
1024778,1024768
1024855,1024844
1024855,1024845
1024930,1024927
1024939,1024936
1024948,1024945
1025086,1025073
1025086,1025074
1025129,1025120
1025323,1025313
1025328,1025325
1025337,1025334
1025346,1025343
1025452,1025449
1025493,1025483
1025534,1025530
1025622,1025608
1025633,1025624
1025633,1025625
1025659,1025656
1025701,1025692
1025701,1025693
1025758,1025755
1025775,1025770
1025775,1025771
1025775,1025772
1025846,1025843
1025858,1025848
1025873,1025870
1025907,1025891
1025919,1025909
1025929,1025921
1025980,1025967
1026003,1026000
1026024,1026010
1026024,1026011
1026024,1026012
1026068,1026065
1026101,1026095
1026167,1026164
1026197,1026191
1026361,1026347
1026381,1026377
1026381,1026378
1026478,1026462
1026478,1026463
1026478,1026464
1026530,1026527
1026629,1026626
1026703,1026690
1026703,1026691
1026718,1026710
1026747,1026744
1026779,1026760
1026813,1026797
1026836,1026833
1026885,1026873
1027015,1027001
1027038,1027024
1027061,1027050
1027061,1027051
1027099,1027096
1027136,1027122
1027136,1027123
1027150,1027142
1027313,1027299
1027323,1027315
1027387,1027384
1027410,1027396
1027499,1027489
1027514,1027511
1027610,1027606
1027610,1027607
1027627,1027617
1027704,1027693
1027759,1027745
1027759,1027746
1027759,1027747
1027822,1027819
1027857,1027849
1027918,1027915
1027943,1027933
1027943,1027934
1027943,1027935
1028007,1028004
1028069,1028065
1028069,1028066
1028098,1028087
1028098,1028088
1028118,1028105
1028118,1028106
1028128,1028125
1028137,1028134
1028143,1028140
1028180,1028176
1028180,1028177
1028195,1028192
1028208,1028205
1028233,1028224
1028233,1028225
1028279,1028276
1028378,1028372
1028543,1028533
1028553,1028550
1028590,1028580
1028629,1028625
1028629,1028626
1028637,1028632
1028637,1028633
1028763,1028750
1028768,1028765
1028786,1028774
1028802,1028788
1028933,1028930
1028981,1028971
1029023,1029003
1029023,1029004
1029052,1029029
1029052,1029030
1029153,1029143
1029190,1029187
1029213,1029210
1029335,1029332
1029518,1029509
1029518,1029510
1029590,1029576
1029596,1029592
1029596,1029593
1029613,1029610
1029640,1029624
1029660,1029647
1029660,1029648
1029702,1029699
1029816,1029803
1029852,1029840
1029867,1029864
1029873,1029870
1029969,1029966
1030037,1030029
1030108,1030105
1030170,1030167
1030191,1030187
1030191,1030188
1030197,1030193
1030197,1030194
1030224,1030221
1030406,1030403
1030443,1030439
1030443,1030440
1030463,1030453
1030507,1030503
1030507,1030504
1030595,1030587
1030735,1030725
1030759,1030756
1030789,1030777
1030865,1030856
1030865,1030857
1030909,1030895
1030971,1030961
1030989,1030981
1031003,1031000
1031026,1031023
1031138,1031135
1031143,1031140
1031152,1031145
1031194,1031179
1031194,1031180
1031294,1031286
1031354,1031351
1031380,1031366
1031397,1031394
1031403,1031399
1031403,1031400
1031488,1031484
1031499,1031495
1031499,1031496
1031616,1031613
1031796,1031792
1031796,1031793
1031825,1031811
1031846,1031832
