gene,goannotation
1000184,1000183
1000481,1000480
1000592,1000591
1000592,1000595
1000684,1000683
1000788,1000787
1001052,1001051
1001052,1001055
1001052,1001058
1001087,1001086
1001087,1001090
1001103,1001102
1001103,1001106
1001103,1001109
1001145,1001144
1001145,1001147
1001168,1001167
1001168,1001171
1001179,1001178
1001179,1001182
1001179,1001185
1001217,1001216
1001217,1001220
1001217,1001222
1001217,1001225
1001217,1001228
1001217,1001231
1001254,1001253
1001302,1001301
1001302,1001305
1001431,1001430
1001431,1001434
1001445,1001444
1001445,1001447
1001445,1001450
1001445,1001453
1001461,1001460
1001461,1001464
1001482,1001481
1001482,1001485
1001497,1001496
1001497,1001499
1001497,1001502
1001497,1001504
1001497,1001506
1001570,1001569
1001603,1001602
1001603,1001606
1001624,1001623
1001624,1001627
1001624,1001629
1001624,1001632
1001624,1001635
1001624,1001638
1001667,1001666
1001667,1001670
1001667,1001672
1001667,1001675
1001667,1001678
1001719,1001718
1001719,1001722
1001734,1001733
1001741,1001740
1001741,1001744
1001741,1001747
1001741,1001750
1001792,1001791
1001792,1001795
1001792,1001798
1001847,1001846
1001847,1001849
1001847,1001852
1001847,1001854
1001862,1001861
1001862,1001865
1001862,1001867
1001876,1001875
1001876,1001879
1001876,1001882
1001876,1001884
1001876,1001887
1001876,1001890
1001911,1001910
1001911,1001914
1001911,1001917
1001911,1001920
1001984,1001983
1001984,1001987
1001995,1001994
1001995,1001997
1001995,1002000
1001995,1002002
1001995,1002005
1001995,1002007
1001995,1002010
1002023,1002022
1002030,1002029
1002030,1002033
1002030,1002035
1002030,1002037
1002045,1002044
1002045,1002048
1002045,1002050
1002076,1002075
1002076,1002078
1002076,1002081
1002170,1002169
1002178,1002177
1002186,1002185
1002186,1002189
1002186,1002192
1002186,1002194
1002223,1002222
1002223,1002226
1002223,1002228
1002263,1002262
1002263,1002265
1002263,1002267
1002263,1002269
1002286,1002285
1002286,1002289
1002286,1002292
1002286,1002295
1002335,1002334
1002373,1002372
1002373,1002376
1002373,1002378
1002373,1002380
1002388,1002387
1002388,1002391
1002388,1002394
1002388,1002396
1002408,1002407
1002408,1002411
1002408,1002414
1002408,1002417
1002459,1002458
1002459,1002461
1002459,1002464
1002459,1002467
1002459,1002470
1002494,1002493
1002494,1002497
1002494,1002500
1002494,1002503
1002535,1002534
1002535,1002537
1002535,1002539
1002546,1002545
1002601,1002600
1002601,1002604
1002612,1002611
1002612,1002615
1002612,1002618
1002612,1002620
1002660,1002659
1002660,1002662
1002660,1002665
1002687,1002686
1002687,1002690
1002687,1002692
1002787,1002786
1002787,1002789
1002798,1002797
1002798,1002801
1002798,1002804
1002811,1002810
1002874,1002873
1002874,1002876
1002874,1002878
1002944,1002943
1002944,1002947
1002960,1002959
1002960,1002963
1003003,1003002
1003003,1003005
1003003,1003008
1003015,1003014
1003022,1003021
1003022,1003025
1003022,1003027
1003034,1003033
1003034,1003036
1003034,1003038
1003046,1003045
1003077,1003076
1003106,1003105
1003106,1003108
1003148,1003147
1003148,1003150
1003148,1003152
1003216,1003215
1003216,1003219
1003216,1003222
1003216,1003225
1003216,1003227
1003216,1003229
1003266,1003265
1003266,1003269
1003266,1003271
1003266,1003274
1003282,1003281
1003282,1003284
1003282,1003286
1003298,1003297
1003298,1003300
1003308,1003307
1003329,1003328
1003329,1003331
1003341,1003340
1003341,1003343
1003370,1003369
1003370,1003372
1003370,1003374
1003382,1003381
1003382,1003384
1003422,1003421
1003422,1003425
1003422,1003427
1003422,1003429
1003530,1003529
1003530,1003533
1003530,1003535
1003530,1003537
1003530,1003539
1003530,1003542
1003530,1003544
1003557,1003556
1003557,1003560
1003557,1003562
1003557,1003565
1003572,1003571
1003572,1003574
1003572,1003576
1003584,1003583
1003584,1003587
1003584,1003590
1003584,1003592
1003584,1003595
1003602,1003601
1003602,1003604
1003621,1003620
1003621,1003623
1003621,1003625
1003652,1003651
1003652,1003654
1003652,1003656
1003652,1003658
1003690,1003689
1003739,1003738
1003739,1003742
1003781,1003780
1003781,1003783
1003781,1003786
1003840,1003839
1003840,1003843
1003889,1003888
1003889,1003891
1003889,1003893
1003889,1003895
1003976,1003975
1003976,1003978
1003985,1003984
1004080,1004079
1004080,1004082
1004141,1004140
1004141,1004143
1004155,1004154
1004155,1004158
1004155,1004160
1004155,1004163
1004171,1004170
1004192,1004191
1004192,1004194
1004192,1004196
1004192,1004198
1004192,1004200
1004216,1004215
1004216,1004219
1004276,1004275
1004276,1004278
1004290,1004289
1004298,1004297
1004298,1004300
1004298,1004302
1004314,1004313
1004397,1004396
1004397,1004400
1004397,1004403
1004430,1004429
1004503,1004502
1004503,1004506
1004530,1004529
1004530,1004533
1004530,1004536
1004543,1004542
1004543,1004545
1004561,1004560
1004561,1004563
1004593,1004592
1004600,1004599
1004600,1004602
1004600,1004604
1004654,1004653
1004654,1004656
1004654,1004658
1004684,1004683
1004684,1004687
1004711,1004710
1004711,1004713
1004747,1004746
1004754,1004753
1004754,1004756
1004769,1004768
1004769,1004772
1004779,1004778
1004779,1004782
1004779,1004785
1004779,1004787
1004794,1004793
1004794,1004796
1004803,1004802
1004803,1004805
1004803,1004807
1004820,1004819
1004820,1004822
1004820,1004824
1004820,1004826
1004820,1004828
1004854,1004853
1004854,1004856
1004889,1004888
1004889,1004891
1004889,1004894
1004906,1004905
1004923,1004922
1004923,1004925
1005003,1005002
1005003,1005005
1005012,1005011
1005012,1005014
1005021,1005020
1005034,1005033
1005034,1005036
1005044,1005043
1005044,1005046
1005044,1005048
1005081,1005080
1005081,1005083
1005093,1005092
1005093,1005095
1005093,1005097
1005159,1005158
1005159,1005161
1005159,1005163
1005181,1005180
1005181,1005183
1005181,1005185
1005205,1005204
1005205,1005207
1005205,1005209
1005241,1005240
1005268,1005267
1005268,1005270
1005268,1005272
1005279,1005278
1005291,1005290
1005291,1005293
1005337,1005336
1005337,1005339
1005337,1005341
1005385,1005384
1005385,1005387
1005385,1005389
1005385,1005392
1005385,1005395
1005403,1005402
1005403,1005406
1005403,1005408
1005416,1005415
1005416,1005419
1005416,1005422
1005430,1005429
1005430,1005432
1005430,1005435
1005483,1005482
1005483,1005485
1005483,1005487
1005483,1005489
1005483,1005491
1005483,1005493
1005483,1005496
1005504,1005503
1005504,1005506
1005504,1005508
1005504,1005510
1005542,1005541
1005542,1005545
1005542,1005547
1005560,1005559
1005560,1005563
1005560,1005566
1005588,1005587
1005588,1005590
1005588,1005592
1005630,1005629
1005630,1005632
1005640,1005639
1005640,1005643
1005640,1005646
1005640,1005648
1005640,1005651
1005700,1005699
1005700,1005702
1005700,1005704
1005711,1005710
1005711,1005713
1005711,1005715
1005722,1005721
1005722,1005725
1005722,1005728
1005722,1005730
1005722,1005732
1005785,1005784
1005785,1005787
1005785,1005789
1005796,1005795
1005796,1005798
1005842,1005841
1005842,1005844
1005842,1005846
1005853,1005852
1005860,1005859
1005860,1005862
1005860,1005864
1005874,1005873
1005874,1005876
1005874,1005878
1005874,1005880
1005928,1005927
1005928,1005931
1005928,1005933
1005963,1005962
1005981,1005980
1005981,1005984
1005991,1005990
1005991,1005994
1005991,1005996
1005991,1005999
1005991,1006001
1006024,1006023
1006024,1006026
1006024,1006029
1006054,1006053
1006054,1006056
1006091,1006090
1006098,1006097
1006110,1006109
1006110,1006112
1006120,1006119
1006120,1006122
1006120,1006124
1006120,1006126
1006133,1006132
1006140,1006139
1006140,1006142
1006160,1006159
1006181,1006180
1006181,1006184
1006213,1006212
1006213,1006216
1006233,1006232
1006233,1006235
1006233,1006237
1006233,1006239
1006233,1006241
1006248,1006247
1006248,1006250
1006301,1006300
1006352,1006351
1006352,1006354
1006362,1006361
1006362,1006364
1006362,1006366
1006373,1006372
1006373,1006375
1006401,1006400
1006401,1006404
1006401,1006407
1006401,1006409
1006401,1006412
1006448,1006447
1006448,1006450
1006499,1006498
1006499,1006502
1006499,1006504
1006512,1006511
1006512,1006514
1006538,1006537
1006538,1006540
1006538,1006542
1006569,1006568
1006577,1006576
1006599,1006598
1006599,1006602
1006599,1006604
1006637,1006636
1006652,1006651
1006652,1006654
1006652,1006656
1006684,1006683
1006684,1006687
1006684,1006689
1006684,1006691
1006708,1006707
1006708,1006710
1006722,1006721
1006722,1006724
1006722,1006726
1006733,1006732
1006733,1006735
1006733,1006737
1006760,1006759
1006760,1006762
1006791,1006790
1006791,1006793
1006791,1006796
1006791,1006798
1006805,1006804
1006836,1006835
1006836,1006838
1006846,1006845
1006846,1006848
1006846,1006850
1006868,1006867
1006868,1006870
1006877,1006876
1006877,1006879
1006890,1006889
1006890,1006893
1006890,1006895
1006934,1006933
1006934,1006936
1006934,1006938
1006980,1006979
1006997,1006996
1007015,1007014
1007015,1007017
1007015,1007019
1007015,1007021
1007030,1007029
1007030,1007033
1007030,1007035
1007055,1007054
1007063,1007062
1007063,1007066
1007111,1007110
1007120,1007119
1007120,1007122
1007120,1007124
1007142,1007141
1007142,1007144
1007142,1007146
1007153,1007152
1007153,1007155
1007153,1007157
1007191,1007190
1007191,1007194
1007191,1007197
1007217,1007216
1007263,1007262
1007263,1007265
1007263,1007267
1007274,1007273
1007274,1007277
1007284,1007283
1007284,1007286
1007306,1007305
1007342,1007341
1007342,1007344
1007352,1007351
1007352,1007355
1007352,1007358
1007386,1007385
1007386,1007389
1007386,1007392
1007409,1007408
1007417,1007416
1007417,1007420
1007427,1007426
1007427,1007429
1007442,1007441
1007442,1007444
1007470,1007469
1007470,1007472
1007470,1007474
1007470,1007476
1007470,1007479
1007470,1007481
1007488,1007487
1007516,1007515
1007516,1007518
1007516,1007520
1007516,1007522
1007535,1007534
1007544,1007543
1007587,1007586
1007613,1007612
1007613,1007616
1007613,1007619
1007653,1007652
1007653,1007655
1007653,1007657
1007664,1007663
1007664,1007666
1007664,1007669
1007664,1007671
1007693,1007692
1007693,1007695
1007693,1007697
1007693,1007699
1007693,1007702
1007709,1007708
1007709,1007711
1007709,1007713
1007738,1007737
1007738,1007740
1007738,1007742
1007738,1007744
1007751,1007750
1007786,1007785
1007786,1007788
1007786,1007790
1007786,1007792
1007851,1007850
1007851,1007854
1007851,1007857
1007851,1007859
1007851,1007861
1007879,1007878
1007879,1007882
1007879,1007885
1007960,1007959
1007972,1007971
1007972,1007974
1007981,1007980
1007981,1007983
1008026,1008025
1008026,1008028
1008135,1008134
1008142,1008141
1008142,1008145
1008142,1008148
1008142,1008150
1008158,1008157
1008158,1008161
1008158,1008163
1008194,1008193
1008194,1008196
1008194,1008199
1008194,1008201
1008194,1008204
1008194,1008206
1008223,1008222
1008223,1008225
1008237,1008236
1008237,1008239
1008237,1008241
1008237,1008243
1008275,1008274
1008275,1008278
1008291,1008290
1008321,1008320
1008328,1008327
1008328,1008330
1008328,1008332
1008340,1008339
1008340,1008342
1008340,1008345
1008353,1008352
1008353,1008356
1008353,1008359
1008412,1008411
1008412,1008414
1008442,1008441
1008464,1008463
1008464,1008466
1008464,1008468
1008477,1008476
1008477,1008479
1008477,1008481
1008494,1008493
1008494,1008497
1008494,1008500
1008523,1008522
1008523,1008525
1008582,1008581
1008659,1008658
1008659,1008661
1008668,1008667
1008668,1008670
1008687,1008686
1008687,1008690
1008687,1008693
1008705,1008704
1008705,1008707
1008705,1008709
1008749,1008748
1008749,1008751
1008749,1008753
1008786,1008785
1008786,1008788
1008786,1008790
1008786,1008793
1008786,1008795
1008812,1008811
1008812,1008815
1008812,1008818
1008829,1008828
1008829,1008832
1008829,1008834
1008859,1008858
1008859,1008861
1008859,1008863
1008890,1008889
1008890,1008892
1008900,1008899
1008932,1008931
1008940,1008939
1008940,1008942
1008940,1008944
1008988,1008987
1008988,1008990
1008988,1008992
1008988,1008994
1009015,1009014
1009015,1009017
1009065,1009064
1009065,1009067
1009065,1009069
1009102,1009101
1009102,1009104
1009102,1009106
1009102,1009108
1009102,1009110
1009132,1009131
1009132,1009134
1009142,1009141
1009142,1009145
1009142,1009148
1009142,1009150
1009142,1009152
1009142,1009155
1009195,1009194
1009195,1009197
1009195,1009199
1009195,1009202
1009195,1009204
1009195,1009206
1009223,1009222
1009223,1009225
1009232,1009231
1009232,1009234
1009232,1009236
1009232,1009238
1009232,1009240
1009232,1009242
1009232,1009244
1009301,1009300
1009344,1009343
1009344,1009346
1009344,1009348
1009344,1009350
1009357,1009356
1009357,1009359
1009395,1009394
1009431,1009430
1009431,1009434
1009431,1009437
1009431,1009440
1009431,1009443
1009431,1009446
1009474,1009473
1009474,1009476
1009474,1009478
1009495,1009494
1009495,1009498
1009495,1009500
1009495,1009502
1009509,1009508
1009509,1009511
1009509,1009513
1009534,1009533
1009534,1009536
1009534,1009538
1009607,1009606
1009607,1009610
1009618,1009617
1009618,1009620
1009618,1009622
1009629,1009628
1009629,1009631
1009629,1009633
1009640,1009639
1009640,1009643
1009640,1009646
1009660,1009659
1009660,1009662
1009660,1009664
1009660,1009666
1009714,1009713
1009714,1009716
1009714,1009718
1009714,1009720
1009755,1009754
1009755,1009758
1009773,1009772
1009773,1009776
1009773,1009779
1009787,1009786
1009787,1009789
1009787,1009791
1009799,1009798
1009855,1009854
1009855,1009857
1009855,1009859
1009855,1009861
1009903,1009902
1009903,1009905
1009903,1009907
1009914,1009913
1009922,1009921
1009922,1009924
1009922,1009926
1009968,1009967
1010042,1010041
1010042,1010044
1010042,1010046
1010053,1010052
1010100,1010099
1010100,1010102
1010129,1010128
1010147,1010146
1010147,1010149
1010147,1010151
1010147,1010153
1010147,1010155
1010228,1010227
1010228,1010230
1010266,1010265
1010266,1010269
1010266,1010272
1010266,1010275
1010308,1010307
1010308,1010311
1010308,1010314
1010336,1010335
1010336,1010339
1010364,1010363
1010364,1010367
1010412,1010411
1010430,1010429
1010430,1010432
1010507,1010506
1010507,1010510
1010507,1010512
1010507,1010514
1010526,1010525
1010526,1010528
1010536,1010535
1010536,1010538
1010536,1010540
1010536,1010542
1010570,1010569
1010609,1010608
1010627,1010626
1010627,1010629
1010627,1010631
1010627,1010633
1010641,1010640
1010641,1010644
1010641,1010646
1010641,1010649
1010641,1010651
1010658,1010657
1010658,1010660
1010678,1010677
1010678,1010680
1010706,1010705
1010706,1010708
1010706,1010710
1010753,1010752
1010753,1010755
1010767,1010766
1010767,1010769
1010776,1010775
1010776,1010779
1010786,1010785
1010786,1010789
1010786,1010792
1010786,1010795
1010805,1010804
1010805,1010807
1010805,1010809
1010805,1010812
1010845,1010844
1010845,1010847
1010855,1010854
1010855,1010857
1010864,1010863
1010864,1010866
1010864,1010868
1010908,1010907
1010920,1010919
1010928,1010927
1010928,1010930
1010928,1010932
1010940,1010939
1010948,1010947
1011009,1011008
1011009,1011011
1011009,1011014
1011009,1011017
1011050,1011049
1011050,1011052
1011050,1011054
1011061,1011060
1011061,1011063
1011076,1011075
1011076,1011078
1011085,1011084
1011085,1011087
1011094,1011093
1011094,1011097
1011094,1011099
1011094,1011101
1011094,1011104
1011094,1011107
1011094,1011109
1011116,1011115
1011116,1011118
1011135,1011134
1011180,1011179
1011180,1011182
1011189,1011188
1011189,1011191
1011189,1011193
1011189,1011195
1011189,1011197
1011235,1011234
1011235,1011237
1011235,1011239
1011315,1011314
1011315,1011317
1011335,1011334
1011335,1011337
1011335,1011339
1011347,1011346
1011347,1011349
1011347,1011352
1011347,1011354
1011361,1011360
1011361,1011364
1011393,1011392
1011393,1011396
1011393,1011399
1011422,1011421
1011422,1011424
1011422,1011426
1011460,1011459
1011460,1011463
1011460,1011466
1011474,1011473
1011474,1011477
1011474,1011480
1011487,1011486
1011524,1011523
1011524,1011527
1011553,1011552
1011553,1011555
1011553,1011557
1011565,1011564
1011565,1011567
1011565,1011569
1011620,1011619
1011620,1011623
1011644,1011643
1011724,1011723
1011724,1011726
1011733,1011732
1011740,1011739
1011740,1011742
1011772,1011771
1011772,1011774
1011772,1011776
1011772,1011778
1011772,1011780
1011772,1011782
1011832,1011831
1011832,1011835
1011832,1011837
1011832,1011839
1011832,1011841
1011864,1011863
1011864,1011866
1011864,1011868
1011875,1011874
1011875,1011877
1011903,1011902
1011903,1011906
1011903,1011909
1011903,1011912
1011938,1011937
1011938,1011941
1011938,1011943
1011950,1011949
1011950,1011953
1011950,1011956
1011994,1011993
1012011,1012010
1012011,1012013
1012096,1012095
1012096,1012099
1012117,1012116
1012117,1012119
1012126,1012125
1012126,1012128
1012126,1012130
1012126,1012132
1012126,1012134
1012141,1012140
1012149,1012148
1012215,1012214
1012215,1012217
1012215,1012220
1012215,1012222
1012245,1012244
1012245,1012248
1012255,1012254
1012365,1012364
1012365,1012367
1012365,1012369
1012387,1012386
1012387,1012389
1012443,1012442
1012456,1012455
1012456,1012459
1012456,1012461
1012479,1012478
1012525,1012524
1012558,1012557
1012565,1012564
1012611,1012610
1012611,1012613
1012611,1012615
1012651,1012650
1012651,1012654
1012651,1012657
1012684,1012683
1012684,1012686
1012684,1012688
1012733,1012732
1012733,1012735
1012742,1012741
1012794,1012793
1012794,1012796
1012794,1012798
1012848,1012847
1012848,1012850
1012848,1012853
1012885,1012884
1012897,1012896
1012897,1012900
1012897,1012902
1012897,1012904
1012897,1012907
1012921,1012920
1012921,1012923
1012921,1012925
1013018,1013017
1013018,1013021
1013028,1013027
1013028,1013030
1013028,1013032
1013046,1013045
1013046,1013048
1013046,1013051
1013060,1013059
1013060,1013063
1013060,1013066
1013060,1013068
1013081,1013080
1013081,1013083
1013081,1013085
1013159,1013158
1013186,1013185
1013186,1013189
1013226,1013225
1013226,1013228
1013235,1013234
1013235,1013237
1013274,1013273
1013274,1013276
1013283,1013282
1013283,1013285
1013283,1013287
1013283,1013289
1013296,1013295
1013296,1013298
1013311,1013310
1013311,1013313
1013324,1013323
1013345,1013344
1013352,1013351
1013352,1013354
1013379,1013378
1013406,1013405
1013406,1013409
1013406,1013411
1013406,1013413
1013406,1013415
1013423,1013422
1013423,1013426
1013450,1013449
1013450,1013452
1013450,1013454
1013519,1013518
1013519,1013521
1013519,1013523
1013554,1013553
1013567,1013566
1013567,1013569
1013567,1013571
1013567,1013573
1013567,1013575
1013567,1013577
1013567,1013580
1013686,1013685
1013686,1013688
1013686,1013690
1013686,1013692
1013745,1013744
1013745,1013747
1013745,1013749
1013745,1013751
1013758,1013757
1013758,1013761
1013758,1013764
1013777,1013776
1013784,1013783
1013784,1013786
1013784,1013788
1013810,1013809
1013810,1013812
1013885,1013884
1013907,1013906
1013976,1013975
1013976,1013979
1013976,1013981
1013976,1013983
1013976,1013986
1013976,1013988
1013976,1013990
1014008,1014007
1014008,1014011
1014008,1014013
1014008,1014015
1014008,1014017
1014008,1014020
1014027,1014026
1014027,1014029
1014027,1014031
1014027,1014034
1014027,1014036
1014043,1014042
1014043,1014045
1014043,1014047
1014054,1014053
1014054,1014057
1014054,1014059
1014054,1014061
1014122,1014121
1014122,1014124
1014122,1014126
1014133,1014132
1014133,1014135
1014133,1014137
1014148,1014147
1014148,1014151
1014168,1014167
1014168,1014170
1014168,1014173
1014194,1014193
1014194,1014196
1014194,1014198
1014217,1014216
1014217,1014220
1014217,1014223
1014217,1014225
1014267,1014266
1014267,1014269
1014267,1014271
1014278,1014277
1014278,1014280
1014288,1014287
1014288,1014290
1014288,1014292
1014368,1014367
1014368,1014370
1014397,1014396
1014397,1014399
1014397,1014401
1014397,1014403
1014420,1014419
1014420,1014422
1014420,1014424
1014420,1014426
1014475,1014474
1014475,1014477
1014475,1014479
1014494,1014493
1014494,1014496
1014494,1014498
1014494,1014500
1014494,1014502
1014535,1014534
1014535,1014538
1014535,1014541
1014535,1014544
1014551,1014550
1014551,1014553
1014551,1014555
1014562,1014561
1014569,1014568
1014569,1014571
1014569,1014573
1014569,1014575
1014582,1014581
1014582,1014584
1014582,1014586
1014594,1014593
1014667,1014666
1014667,1014669
1014667,1014671
1014717,1014716
1014741,1014740
1014741,1014743
1014741,1014745
1014741,1014747
1014741,1014749
1014789,1014788
1014796,1014795
1014796,1014798
1014805,1014804
1014805,1014807
1014805,1014809
1014816,1014815
1014816,1014819
1014832,1014831
1014875,1014874
1014875,1014877
1014875,1014880
1014875,1014882
1014875,1014884
1014935,1014934
1014935,1014937
1014935,1014939
1014946,1014945
1014958,1014957
1014958,1014960
1014958,1014962
1014969,1014968
1014969,1014971
1014969,1014973
1015064,1015063
1015064,1015066
1015064,1015069
1015064,1015071
1015064,1015074
1015086,1015085
1015086,1015088
1015096,1015095
1015096,1015099
1015111,1015110
1015111,1015113
1015111,1015115
1015111,1015117
1015134,1015133
1015134,1015136
1015134,1015138
1015203,1015202
1015203,1015205
1015203,1015207
1015214,1015213
1015272,1015271
1015272,1015274
1015322,1015321
1015322,1015324
1015322,1015326
1015333,1015332
1015333,1015335
1015376,1015375
1015376,1015378
1015376,1015380
1015376,1015382
1015389,1015388
1015389,1015391
1015389,1015393
1015389,1015395
1015455,1015454
1015455,1015457
1015455,1015459
1015471,1015470
1015471,1015473
1015485,1015484
1015506,1015505
1015506,1015508
1015577,1015576
1015577,1015579
1015577,1015581
1015611,1015610
1015611,1015613
1015611,1015616
1015611,1015619
1015611,1015621
1015643,1015642
1015643,1015646
1015643,1015649
1015643,1015652
1015643,1015654
1015731,1015730
1015731,1015734
1015731,1015737
1015754,1015753
1015754,1015756
1015754,1015758
1015754,1015760
1015782,1015781
1015782,1015784
1015782,1015786
1015782,1015789
1015814,1015813
1015814,1015816
1015814,1015819
1015870,1015869
1015870,1015872
1015884,1015883
1015884,1015886
1015884,1015888
1015896,1015895
1015896,1015899
1015896,1015902
1015909,1015908
1015951,1015950
1015951,1015953
1015951,1015955
1015989,1015988
1015989,1015991
1015989,1015993
1015989,1015995
1016002,1016001
1016002,1016004
1016002,1016006
1016028,1016027
1016120,1016119
1016120,1016122
1016174,1016173
1016174,1016176
1016174,1016178
1016174,1016180
1016199,1016198
1016199,1016201
1016199,1016203
1016235,1016234
1016235,1016237
1016235,1016239
1016247,1016246
1016247,1016249
1016247,1016252
1016247,1016254
1016266,1016265
1016266,1016268
1016266,1016270
1016266,1016272
1016285,1016284
1016285,1016287
1016309,1016308
1016309,1016311
1016341,1016340
1016341,1016343
1016341,1016345
1016341,1016347
1016384,1016383
1016384,1016386
1016384,1016388
1016410,1016409
1016410,1016412
1016420,1016419
1016420,1016422
1016450,1016449
1016536,1016535
1016536,1016539
1016536,1016541
1016536,1016543
1016565,1016564
1016593,1016592
1016600,1016599
1016608,1016607
1016608,1016610
1016644,1016643
