proteins,genes
1016273,1016266
1016278,1016277
1016288,1016285
1016293,1016292
1016302,1016301
1016312,1016309
1016335,1016334
1016348,1016341
1016353,1016352
1016389,1016384
1016394,1016393
1016399,1016398
1016404,1016403
1016413,1016410
1016423,1016420
1016428,1016427
1016451,1016450
1016473,1016472
1016478,1016477
1016509,1016508
1016514,1016513
1016519,1016518
1016524,1016523
1016544,1016536
1016549,1016548
1016558,1016557
1016566,1016565
1016594,1016593
1016601,1016600
1016611,1016608
1016637,1016636
1016647,1016644
1016652,1016651
1016659,1016658
1016670,1016665
1016675,1016674
1016689,1016688
1016701,1016696
1016732,1016727
1016737,1016736
1016772,1016767
1016777,1016776
1016786,1016783
1016791,1016790
1016796,1016795
1016807,1016802
1016812,1016811
1016826,1016825
1016858,1016849
1016863,1016862
1016892,1016891
1016902,1016899
1016907,1016906
1016912,1016911
1016928,1016920
1016935,1016934
1016955,1016941
1016991,1016976
1017020,1017013
1017029,1017026
1017064,1017056
1017069,1017068
1017074,1017073
1017079,1017078
1017086,1017085
1017091,1017090
1017096,1017095
1017112,1017107
1017117,1017116
1017139,1017138
1017144,1017143
1017154,1017151
1017179,1017178
1017184,1017183
1017189,1017188
1017194,1017193
1017199,1017198
1017204,1017203
1017209,1017208
1017238,1017229
1017252,1017245
1017284,1017277
1017291,1017290
1017317,1017316
1017324,1017323
1017329,1017328
1017334,1017333
1017339,1017338
1017344,1017343
1017349,1017348
1017362,1017361
1017367,1017366
1017388,1017387
1017397,1017394
1017412,1017406
1017443,1017442
1017448,1017447
1017464,1017454
1017469,1017468
1017476,1017475
1017481,1017480
1017497,1017488
1017508,1017506
1017508,1017507
1017525,1017521
1017534,1017531
1017555,1017554
1017568,1017561
1017594,1017593
1017605,1017600
1017610,1017609
1017628,1017617
1017637,1017634
1017645,1017644
1017673,1017667
1017700,1017697
1017709,1017706
1017741,1017736
1017746,1017745
1017757,1017753
1017762,1017761
1017769,1017768
1017774,1017773
1017779,1017778
1017800,1017799
1017805,1017804
1017817,1017812
1017842,1017841
1017847,1017846
1017852,1017851
1017857,1017856
1017868,1017863
1017879,1017874
1017886,1017885
1017904,1017901
1017937,1017936
1017942,1017941
1017967,1017966
1017974,1017973
1017979,1017978
1017984,1017983
1017991,1017990
1017999,1017998
1018004,1018003
1018013,1018012
1018035,1018034
1018040,1018039
1018047,1018046
1018065,1018055
1018090,1018089
1018099,1018096
1018104,1018103
1018113,1018110
1018118,1018117
1018123,1018122
1018128,1018127
1018133,1018132
1018151,1018150
1018170,1018159
1018193,1018192
1018198,1018197
1018231,1018230
1018236,1018235
1018241,1018240
1018246,1018245
1018251,1018250
1018262,1018257
1018274,1018269
1018295,1018290
1018319,1018314
1018348,1018345
1018353,1018352
1018358,1018357
1018363,1018362
1018375,1018370
1018391,1018381
1018407,1018406
1018414,1018413
1018442,1018433
1018447,1018446
1018452,1018451
1018477,1018476
1018482,1018481
1018487,1018486
1018500,1018494
1018514,1018507
1018519,1018518
1018524,1018523
1018530,1018528
1018530,1018529
1018567,1018566
1018591,1018590
1018596,1018595
1018627,1018626
1018639,1018634
1018644,1018643
1018655,1018650
1018667,1018661
1018672,1018671
1018681,1018680
1018686,1018685
1018712,1018711
1018717,1018716
1018755,1018751
1018760,1018759
1018769,1018766
1018774,1018773
1018779,1018778
1018789,1018785
1018819,1018811
1018836,1018833
1018859,1018858
1018864,1018863
1018869,1018868
1018890,1018889
1018895,1018894
1018900,1018899
1018905,1018904
1018910,1018909
1018915,1018914
1018926,1018921
1018944,1018941
1018968,1018967
1018973,1018972
1019010,1019007
1019021,1019016
1019033,1019028
1019038,1019037
1019043,1019042
1019048,1019047
1019053,1019052
1019066,1019065
1019091,1019088
1019096,1019095
1019130,1019127
1019135,1019134
1019140,1019139
1019145,1019144
1019150,1019149
1019155,1019154
1019160,1019159
1019169,1019168
1019180,1019175
1019202,1019201
1019207,1019206
1019241,1019234
1019254,1019249
1019259,1019258
1019264,1019263
1019277,1019271
1019288,1019283
1019306,1019296
1019320,1019319
1019331,1019326
1019357,1019356
1019362,1019361
1019394,1019393
1019399,1019398
1019404,1019403
1019409,1019408
1019416,1019415
1019425,1019422
1019432,1019431
1019441,1019440
1019448,1019447
1019482,1019475
1019487,1019486
1019498,1019493
1019528,1019527
1019533,1019532
1019550,1019541
1019555,1019554
1019560,1019559
1019571,1019566
1019576,1019575
1019586,1019585
1019591,1019590
1019612,1019611
1019617,1019616
1019652,1019645
1019661,1019658
1019666,1019665
1019671,1019670
1019696,1019677
1019708,1019702
1019717,1019716
1019724,1019723
1019755,1019750
1019760,1019759
1019779,1019770
1019811,1019810
1019816,1019815
1019827,1019822
1019832,1019831
1019844,1019839
1019855,1019850
1019860,1019859
1019869,1019868
1019894,1019893
1019901,1019900
1019926,1019925
1019931,1019930
1019936,1019935
1019945,1019942
1019962,1019952
1019970,1019969
1019981,1019977
1019995,1019994
1020024,1020019
1020044,1020031
1020069,1020068
1020074,1020073
1020079,1020078
1020084,1020083
1020089,1020088
1020094,1020093
1020099,1020098
1020122,1020115
1020143,1020142
1020148,1020147
1020177,1020176
1020182,1020181
1020187,1020186
1020192,1020191
1020197,1020196
1020211,1020204
1020216,1020215
1020223,1020222
1020241,1020240
1020268,1020267
1020279,1020274
1020284,1020283
1020312,1020311
1020321,1020318
1020326,1020325
1020339,1020333
1020350,1020345
1020355,1020354
1020360,1020359
1020385,1020378
1020390,1020389
1020412,1020411
1020437,1020436
1020444,1020443
1020449,1020448
1020470,1020456
1020475,1020474
1020489,1020484
1020500,1020495
1020509,1020508
1020514,1020513
1020539,1020538
1020544,1020543
1020554,1020551
1020589,1020582
1020594,1020593
1020601,1020600
1020606,1020605
1020613,1020612
1020620,1020619
1020628,1020627
1020637,1020636
1020659,1020658
1020690,1020689
1020703,1020697
1020716,1020709
1020726,1020723
1020731,1020730
1020739,1020738
1020753,1020752
1020758,1020757
1020782,1020781
1020789,1020788
1020818,1020815
1020823,1020822
1020834,1020829
1020839,1020838
1020848,1020845
1020853,1020852
1020872,1020871
1020883,1020878
1020902,1020901
1020912,1020908
1020944,1020939
1020949,1020948
1020954,1020953
1020959,1020958
1020968,1020965
1020984,1020975
1020991,1020990
1021013,1021012
1021034,1021033
1021075,1021062
1021080,1021079
1021085,1021084
1021090,1021089
1021095,1021094
1021102,1021101
1021121,1021110
1021137,1021132
1021163,1021162
1021168,1021167
1021193,1021192
1021198,1021197
1021208,1021205
1021213,1021212
1021218,1021217
1021223,1021222
1021228,1021227
1021246,1021243
1021269,1021268
1021274,1021273
1021306,1021305
1021319,1021312
1021324,1021323
1021329,1021328
1021334,1021333
1021344,1021341
1021355,1021350
1021362,1021361
1021380,1021379
1021385,1021384
1021410,1021409
1021423,1021416
1021437,1021429
1021442,1021441
1021447,1021446
1021452,1021451
1021457,1021456
1021476,1021475
1021493,1021492
1021498,1021497
1021513,1021504
1021526,1021519
1021564,1021558
1021580,1021573
1021585,1021584
1021590,1021589
1021599,1021596
1021608,1021605
1021621,1021620
1021639,1021638
1021644,1021643
1021665,1021664
1021670,1021669
1021681,1021676
1021686,1021685
1021693,1021692
1021698,1021697
1021705,1021704
1021729,1021720
1021750,1021749
1021759,1021756
1021785,1021784
1021790,1021789
1021795,1021794
1021800,1021799
1021805,1021804
1021818,1021811
1021829,1021824
1021848,1021847
1021853,1021852
1021874,1021873
1021879,1021878
1021904,1021903
1021909,1021908
1021920,1021915
1021929,1021926
1021939,1021935
1021944,1021943
1021949,1021948
1021974,1021965
1022001,1022000
1022031,1022030
1022036,1022035
1022045,1022042
1022050,1022049
1022055,1022054
1022060,1022059
1022079,1022078
1022101,1022100
1022106,1022105
1022138,1022137
1022143,1022142
1022148,1022147
1022153,1022152
1022163,1022159
1022174,1022171
1022179,1022178
1022193,1022192
1022216,1022215
1022233,1022224
1022263,1022262
1022272,1022269
1022277,1022276
1022282,1022281
1022287,1022286
1022300,1022293
1022309,1022306
1022320,1022319
1022339,1022338
1022351,1022348
1022388,1022383
1022393,1022392
1022398,1022397
1022403,1022402
1022408,1022407
1022420,1022415
1022425,1022424
1022454,1022449
1022471,1022470
1022476,1022475
1022481,1022480
1022514,1022513
1022527,1022522
1022536,1022533
1022541,1022540
1022546,1022545
1022551,1022550
1022557,1022555
1022557,1022556
1022580,1022575
1022598,1022597
1022638,1022629
1022643,1022642
1022656,1022651
1022661,1022660
1022666,1022665
1022680,1022672
1022694,1022693
1022699,1022698
1022731,1022722
1022736,1022735
1022765,1022758
1022770,1022769
1022775,1022774
1022790,1022783
1022795,1022794
1022800,1022799
1022822,1022816
1022832,1022831
1022837,1022836
1022871,1022866
1022886,1022879
1022911,1022910
1022916,1022915
1022921,1022920
1022926,1022925
1022931,1022930
1022936,1022935
1022941,1022940
1022963,1022962
1022993,1022986
1023022,1023019
1023035,1023028
1023040,1023039
1023051,1023046
1023064,1023057
1023073,1023070
1023078,1023077
1023107,1023095
1023140,1023135
1023145,1023144
1023168,1023167
1023173,1023172
1023178,1023177
1023183,1023182
1023192,1023189
1023197,1023196
1023204,1023203
1023224,1023220
1023252,1023249
1023263,1023258
1023293,1023292
1023298,1023297
1023303,1023302
1023308,1023307
1023319,1023314
1023332,1023325
1023337,1023336
1023342,1023341
1023365,1023362
1023375,1023371
1023408,1023403
1023425,1023414
1023430,1023429
1023435,1023434
1023450,1023441
1023461,1023456
1023466,1023465
1023480,1023479
1023502,1023501
1023512,1023508
1023523,1023518
1023528,1023527
1023557,1023556
1023562,1023561
1023567,1023566
1023572,1023571
1023585,1023578
1023590,1023589
1023613,1023612
1023642,1023641
1023676,1023675
1023681,1023680
1023686,1023685
1023696,1023693
1023702,1023701
1023714,1023709
1023736,1023730
1023741,1023740
1023770,1023769
1023775,1023774
1023788,1023781
1023813,1023812
1023828,1023819
1023833,1023832
1023838,1023837
1023843,1023842
1023848,1023847
1023879,1023870
1023902,1023901
1023911,1023908
1023945,1023933
1023956,1023951
1023961,1023960
1023966,1023965
1023971,1023970
1023976,1023975
1023981,1023980
1024002,1024001
1024027,1024026
1024032,1024031
1024054,1024053
1024059,1024058
1024064,1024063
1024079,1024071
1024084,1024083
1024102,1024093
1024107,1024106
1024134,1024131
1024167,1024162
1024172,1024171
1024208,1024201
1024220,1024215
1024225,1024224
1024230,1024229
1024235,1024234
1024240,1024239
1024251,1024248
1024256,1024255
1024271,1024262
1024302,1024293
1024307,1024306
1024346,1024341
1024351,1024350
1024356,1024355
1024361,1024360
1024366,1024365
1024380,1024373
1024391,1024386
1024397,1024396
1024402,1024401
1024432,1024423
1024437,1024436
1024467,1024466
1024472,1024471
1024477,1024476
1024482,1024481
1024487,1024486
1024492,1024491
1024497,1024496
1024512,1024511
1024538,1024537
1024543,1024542
1024548,1024547
1024577,1024574
1024590,1024583
1024595,1024594
1024600,1024599
1024605,1024604
1024614,1024611
1024619,1024618
1024640,1024639
1024659,1024658
1024689,1024688
1024694,1024693
1024701,1024700
1024710,1024707
1024723,1024716
1024728,1024727
1024743,1024742
1024748,1024747
1024778,1024773
1024783,1024782
1024788,1024787
1024824,1024815
1024837,1024830
1024842,1024841
1024855,1024850
1024860,1024859
1024871,1024866
1024885,1024884
1024920,1024913
1024925,1024924
1024953,1024952
1024962,1024959
1024967,1024966
1024972,1024971
1024977,1024976
1024982,1024981
1024987,1024986
1025016,1025013
1025038,1025037
1025043,1025042
1025066,1025065
1025071,1025070
1025086,1025079
1025095,1025092
1025109,1025101
1025118,1025115
1025129,1025126
1025148,1025147
1025153,1025152
1025164,1025159
1025189,1025186
1025202,1025195
1025236,1025233
1025241,1025240
1025246,1025245
1025251,1025250
1025256,1025255
1025265,1025262
1025281,1025271
1025299,1025296
1025311,1025306
1025323,1025318
1025353,1025352
1025360,1025359
1025391,1025390
1025403,1025398
1025408,1025407
1025427,1025414
1025432,1025431
1025437,1025436
1025442,1025441
1025447,1025446
1025465,1025464
1025493,1025488
1025502,1025499
1025534,1025533
1025539,1025538
1025544,1025543
1025549,1025548
1025554,1025553
1025566,1025561
1025571,1025570
1025580,1025579
1025585,1025584
1025622,1025614
1025633,1025630
1025638,1025637
1025664,1025663
1025669,1025668
1025674,1025673
1025681,1025680
1025690,1025687
1025701,1025698
1025741,1025738
1025763,1025762
1025768,1025767
1025808,1025801
1025813,1025812
1025818,1025817
1025823,1025822
1025828,1025827
1025836,1025835
1025858,1025853
1025863,1025862
1025888,1025887
1025907,1025896
1025919,1025914
1025929,1025926
1025956,1025955
1025965,1025962
1025980,1025972
1025985,1025984
1025993,1025992
1025998,1025997
1026024,1026020
1026046,1026045
1026051,1026050
1026083,1026078
1026088,1026087
1026093,1026092
1026101,1026100
1026106,1026105
1026111,1026110
1026116,1026115
1026135,1026134
1026157,1026156
1026162,1026161
1026189,1026188
1026197,1026196
1026202,1026201
1026209,1026208
1026214,1026213
1026219,1026218
1026228,1026225
1026244,1026243
1026251,1026250
1026276,1026275
1026285,1026282
1026310,1026309
1026319,1026316
1026324,1026323
1026329,1026328
1026334,1026333
1026345,1026340
1026361,1026352
1026370,1026369
1026375,1026374
1026409,1026404
1026414,1026413
1026419,1026418
1026444,1026443
1026449,1026448
1026460,1026455
1026478,1026471
1026483,1026482
1026488,1026487
1026493,1026492
1026513,1026512
1026537,1026536
1026542,1026541
1026572,1026571
1026577,1026576
1026582,1026581
1026587,1026586
1026592,1026591
1026597,1026596
1026602,1026601
1026619,1026616
1026624,1026623
1026647,1026646
1026657,1026653
1026664,1026663
1026703,1026696
1026708,1026707
1026718,1026715
1026723,1026722
1026728,1026727
1026733,1026732
1026738,1026737
1026758,1026757
1026779,1026765
1026813,1026802
1026831,1026820
1026861,1026860
1026866,1026865
1026871,1026870
1026885,1026878
1026908,1026892
1026913,1026912
1026922,1026921
1026935,1026929
1026957,1026956
1026962,1026961
1026999,1026998
1027015,1027007
1027022,1027021
1027038,1027029
1027048,1027045
1027061,1027056
1027072,1027067
1027076,1002437
1027089,1027088
1027120,1027119
1027136,1027128
1027150,1027147
1027173,1027172
1027186,1027179
1027191,1027190
1027196,1027195
1027205,1027202
1027210,1027209
1027215,1027214
1027229,1027228
1027259,1027252
1027264,1027263
1027290,1027289
1027297,1027296
1027313,1027306
1027323,1027320
1027328,1027327
1027339,1027334
1027351,1027345
1027365,1027364
1027370,1027369
1027394,1027393
1027410,1027401
1027440,1027439
1027445,1027444
1027450,1027449
1027455,1027454
1027460,1027459
1027465,1027464
1027476,1027471
1027483,1027482
1027499,1027494
1027504,1027503
1027528,1027527
1027537,1027534
1027542,1027541
1027568,1027567
1027575,1027574
1027580,1027579
1027585,1027584
1027594,1027591
1027599,1027598
1027604,1027603
1027627,1027622
1027632,1027631
1027656,1027655
1027691,1027686
1027704,1027698
1027709,1027708
1027714,1027713
1027719,1027718
1027724,1027723
1027739,1027730
1027759,1027752
1027771,1027766
1027792,1027791
1027797,1027796
1027806,1027803
1027817,1027813
1027847,1027846
1027857,1027854
1027862,1027861
1027867,1027866
1027872,1027871
1027882,1027879
1027891,1027888
1027904,1027903
1027931,1027924
1027943,1027940
1027964,1027963
1027969,1027968
1027974,1027973
1027979,1027978
1027984,1027983
1027989,1027988
1028002,1027995
1028020,1028019
1028042,1028041
1028051,1028048
1028080,1028079
1028085,1028084
1028098,1028093
1028103,1028102
1028118,1028111
1028123,1028122
1028156,1028150
1028165,1028162
1028185,1028184
1028190,1028189
1028217,1028216
1028222,1028221
1028233,1028230
1028238,1028237
1028243,1028242
1028250,1028249
1028255,1028254
1028274,1028273
1028300,1028297
1028331,1028326
1028338,1028337
1028351,1028344
1028356,1028355
1028361,1028360
1028370,1028367
1028378,1028377
1028392,1028391
1028420,1028415
1028429,1028426
1028458,1028457
1028463,1028462
1028468,1028467
1028473,1028472
1028484,1028479
1028493,1028490
1028500,1028499
1028514,1028513
1028543,1028538
1028548,1028547
1028578,1028577
1028590,1028585
1028595,1028594
1028600,1028599
1028605,1028604
1028618,1028611
1028623,1028622
1028637,1028636
1028655,1028654
1028660,1028659
1028695,1028690
1028700,1028699
1028705,1028704
1028710,1028709
1028715,1028714
1028724,1028721
1028733,1028730
1028763,1028755
1028786,1028779
1028802,1028793
1028813,1028808
1028844,1028843
1028849,1028848
1028854,1028853
1028859,1028858
1028864,1028863
1028869,1028868
1028878,1028877
1028907,1028902
1028912,1028911
1028944,1028939
1028949,1028948
1028960,1028955
1028969,1028966
1028981,1028976
1028991,1028987
1029023,1029010
1029052,1029035
1029080,1029075
1029089,1029086
1029116,1029115
1029131,1029122
1029136,1029135
1029141,1029140
1029153,1029148
1029167,1029159
1029177,1029173
1029199,1029198
1029204,1029203
1029237,1029236
1029242,1029241
1029247,1029246
1029252,1029251
1029261,1029258
1029266,1029265
1029288,1029281
1029309,1029308
1029318,1029315
1029344,1029343
1029355,1029350
1029368,1029361
1029373,1029372
1029384,1029379
1029389,1029388
1029407,1029400
1029435,1029426
1029440,1029439
1029445,1029444
1029476,1029471
1029481,1029480
1029492,1029487
1029497,1029496
1029502,1029501
1029507,1029506
1029518,1029515
1029523,1029522
1029540,1029539
1029549,1029546
1029574,1029573
1029590,1029582
1029622,1029621
1029640,1029629
1029645,1029644
1029660,1029653
1029667,1029666
1029674,1029673
1029679,1029678
1029697,1029696
1029720,1029719
1029750,1029749
1029755,1029754
1029766,1029761
1029778,1029773
1029783,1029782
1029792,1029789
1029816,1029808
1029825,1029822
1029852,1029845
1029857,1029856
1029862,1029861
1029896,1029895
1029901,1029900
1029913,1029908
1029924,1029919
1029929,1029928
1029940,1029935
1029945,1029944
1029955,1029954
1029974,1029973
1029985,1029980
1030012,1030011
1030017,1030016
1030022,1030021
1030027,1030026
1030037,1030034
1030042,1030041
1030062,1030061
1030088,1030085
1030095,1030094
1030122,1030118
1030129,1030128
1030141,1030136
1030146,1030145
1030151,1030150
1030156,1030155
1030175,1030174
1030180,1030179
1030202,1030201
1030207,1030206
1030233,1030232
1030238,1030237
1030243,1030242
1030248,1030247
1030255,1030254
1030260,1030259
1030271,1030266
1030305,1030295
1030326,1030325
1030351,1030350
1030356,1030355
1030361,1030360
1030366,1030365
1030371,1030370
1030380,1030377
1030385,1030384
1030397,1030396
1030424,1030423
1030429,1030428
1030463,1030458
1030472,1030469
1030477,1030476
1030482,1030481
1030487,1030486
1030492,1030491
1030497,1030496
1030518,1030514
1030539,1030538
1030544,1030543
1030575,1030574
1030580,1030579
1030585,1030584
1030595,1030592
1030600,1030599
1030609,1030606
1030620,1030615
1030631,1030630
1030649,1030648
1030657,1030656
1030688,1030687
1030693,1030692
1030698,1030697
1030703,1030702
1030714,1030709
1030723,1030720
1030735,1030730
1030754,1030753
1030789,1030782
1030794,1030793
1030805,1030800
1030834,1030833
1030839,1030838
1030844,1030843
1030849,1030848
1030854,1030853
1030865,1030862
1030872,1030871
1030877,1030876
1030909,1030900
1030914,1030913
1030939,1030938
1030944,1030943
1030949,1030948
1030954,1030953
1030959,1030958
1030971,1030966
1030989,1030986
1031016,1031013
1031021,1031020
1031051,1031048
1031061,1031057
1031066,1031065
1031071,1031070
1031076,1031075
1031087,1031082
1031092,1031091
1031097,1031096
1031118,1031117
1031125,1031124
1031152,1031151
1031157,1031156
1031166,1031163
1031177,1031172
1031194,1031185
1031205,1031200
1031214,1031211
1031228,1031227
1031250,1031249
1031257,1031256
1031284,1031283
1031294,1031291
1031304,1031301
1031309,1031308
1031314,1031313
1031319,1031318
1031328,1031325
1031337,1031336
1031359,1031358
1031364,1031363
1031380,1031371
1031409,1031408
1031414,1031413
1031419,1031418
1031430,1031425
1031435,1031434
1031440,1031439
1031451,1031446
1031456,1031455
1031482,1031475
1031512,1031511
1031517,1031516
1031530,1031523
1031537,1031536
1031563,1031562
1031568,1031567
1031573,1031572
1031578,1031577
1031591,1031584
1031596,1031595
1031607,1031602
1031628,1031624
1031633,1031632
1031652,1031651
1031679,1031678
1031690,1031685
1031695,1031694
1031700,1031699
1031707,1031706
1031716,1031713
1031723,1031722
1031732,1031731
1031739,1031738
1031772,1031771
1031777,1031776
1031782,1031781
1031809,1031808
1031825,1031816
1031830,1031829
1031846,1031837
1031855,1031852
1031860,1031859
1031865,1031864
