identifier,obsolete,namespace,id,name,description,ontologyid,class
GO:0008603,,,1002462,,,,org.intermine.model.bio.GOTerm
GO:0016301,,,1002465,,,,org.intermine.model.bio.GOTerm
GO:0001932,,,1002468,,,,org.intermine.model.bio.GOTerm
,,,1002473,Capsid protein,,1000003,org.intermine.model.bio.OntologyTerm
GO:0004427,,,1002495,,,,org.intermine.model.bio.GOTerm
GO:0009678,,,1002498,,,,org.intermine.model.bio.GOTerm
GO:0015992,,,1002501,,,,org.intermine.model.bio.GOTerm
GO:0000154,,,1002598,,,,org.intermine.model.bio.GOTerm
GO:0000179,,,1002602,,,,org.intermine.model.bio.GOTerm
GO:0006457,,,1002613,,,,org.intermine.model.bio.GOTerm
GO:0051082,,,1002616,,,,org.intermine.model.bio.GOTerm
GO:0004576,,,1002657,,,,org.intermine.model.bio.GOTerm
GO:0006486,,,1002663,,,,org.intermine.model.bio.GOTerm
GO:0031072,,,1002688,,,,org.intermine.model.bio.GOTerm
,,,1002701,Ubl conjugation pathway,,1000003,org.intermine.model.bio.OntologyTerm
,,,1002792,Exonuclease,,1000003,org.intermine.model.bio.OntologyTerm
GO:0006396,,,1002795,,,,org.intermine.model.bio.GOTerm
GO:0000175,,,1002799,,,,org.intermine.model.bio.GOTerm
GO:0003723,,,1002802,,,,org.intermine.model.bio.GOTerm
,,,1002861,Methyltransferase,,1000003,org.intermine.model.bio.OntologyTerm
GO:0009228,,,1002941,,,,org.intermine.model.bio.GOTerm
GO:0004417,,,1002945,,,,org.intermine.model.bio.GOTerm
GO:0005739,,,1002957,,,,org.intermine.model.bio.GOTerm
GO:0004408,,,1002961,,,,org.intermine.model.bio.GOTerm
,,,1002976,Proteasome,,1000003,org.intermine.model.bio.OntologyTerm
GO:0003700,,,1003000,,,,org.intermine.model.bio.GOTerm
GO:0045449,,,1003006,,,,org.intermine.model.bio.GOTerm
GO:0015935,,,1003023,,,,org.intermine.model.bio.GOTerm
GO:0016787,,,1003043,,,,org.intermine.model.bio.GOTerm
,,,1003133,Rotamase,,1000003,org.intermine.model.bio.OntologyTerm
GO:0000398,,,1003145,,,,org.intermine.model.bio.GOTerm
GO:0030132,,,1003217,,,,org.intermine.model.bio.GOTerm
GO:0005198,,,1003220,,,,org.intermine.model.bio.GOTerm
GO:0030130,,,1003223,,,,org.intermine.model.bio.GOTerm
GO:0042254,,,1003267,,,,org.intermine.model.bio.GOTerm
GO:0006414,,,1003272,,,,org.intermine.model.bio.GOTerm
GO:0004386,,,1003279,,,,org.intermine.model.bio.GOTerm
GO:0004197,,,1003338,,,,org.intermine.model.bio.GOTerm
GO:0008026,,,1003367,,,,org.intermine.model.bio.GOTerm
GO:0006810,,,1003419,,,,org.intermine.model.bio.GOTerm
GO:0042626,,,1003423,,,,org.intermine.model.bio.GOTerm
GO:0030163,,,1003527,,,,org.intermine.model.bio.GOTerm
GO:0017111,,,1003531,,,,org.intermine.model.bio.GOTerm
GO:0004222,,,1003540,,,,org.intermine.model.bio.GOTerm
GO:0006177,,,1003554,,,,org.intermine.model.bio.GOTerm
GO:0003922,,,1003558,,,,org.intermine.model.bio.GOTerm
GO:0006541,,,1003563,,,,org.intermine.model.bio.GOTerm
GO:0009003,,,1003581,,,,org.intermine.model.bio.GOTerm
GO:0005787,,,1003585,,,,org.intermine.model.bio.GOTerm
GO:0005792,,,1003588,,,,org.intermine.model.bio.GOTerm
GO:0006465,,,1003593,,,,org.intermine.model.bio.GOTerm
GO:0006633,,,1003736,,,,org.intermine.model.bio.GOTerm
GO:0004315,,,1003740,,,,org.intermine.model.bio.GOTerm
GO:0020037,,,1003784,,,,org.intermine.model.bio.GOTerm
,,,1003790,Stress response,,1000003,org.intermine.model.bio.OntologyTerm
GO:0030693,,,1003841,,,,org.intermine.model.bio.GOTerm
,,,1003966,Lipid degradation,,1000003,org.intermine.model.bio.OntologyTerm
GO:0008080,,,1003973,,,,org.intermine.model.bio.GOTerm
GO:0016887,,,1004138,,,,org.intermine.model.bio.GOTerm
,,,1004149,Pyruvate,,1000003,org.intermine.model.bio.OntologyTerm
GO:0000287,,,1004152,,,,org.intermine.model.bio.GOTerm
GO:0030955,,,1004156,,,,org.intermine.model.bio.GOTerm
GO:0004743,,,1004161,,,,org.intermine.model.bio.GOTerm
,,,1004185,Heme,,1000003,org.intermine.model.bio.OntologyTerm
,,,1004186,Respiratory chain,,1000003,org.intermine.model.bio.OntologyTerm
GO:0005746,,,1004189,,,,org.intermine.model.bio.GOTerm
GO:0004540,,,1004217,,,,org.intermine.model.bio.GOTerm
,,,1004227,Aminopeptidase,,1000003,org.intermine.model.bio.OntologyTerm
,,,1004228,Metalloprotease,,1000003,org.intermine.model.bio.OntologyTerm
GO:0004672,,,1004295,,,,org.intermine.model.bio.GOTerm
GO:0046873,,,1004398,,,,org.intermine.model.bio.GOTerm
GO:0030001,,,1004401,,,,org.intermine.model.bio.GOTerm
,,,1004490,DNA damage,,1000003,org.intermine.model.bio.OntologyTerm
,,,1004491,DNA recombination,,1000003,org.intermine.model.bio.OntologyTerm
,,,1004492,DNA repair,,1000003,org.intermine.model.bio.OntologyTerm
GO:0008299,,,1004500,,,,org.intermine.model.bio.GOTerm
GO:0016740,,,1004504,,,,org.intermine.model.bio.GOTerm
GO:0005086,,,1004531,,,,org.intermine.model.bio.GOTerm
GO:0032012,,,1004534,,,,org.intermine.model.bio.GOTerm
GO:0004789,,,1004685,,,,org.intermine.model.bio.GOTerm
GO:0003743,,,1004766,,,,org.intermine.model.bio.GOTerm
GO:0006413,,,1004770,,,,org.intermine.model.bio.GOTerm
GO:0006139,,,1004780,,,,org.intermine.model.bio.GOTerm
GO:0008408,,,1004783,,,,org.intermine.model.bio.GOTerm
GO:0046872,,,1004892,,,,org.intermine.model.bio.GOTerm
GO:0003924,,,1005031,,,,org.intermine.model.bio.GOTerm
GO:0006350,,,1005238,,,,org.intermine.model.bio.GOTerm
,,,1005332,Cyclin,,1000003,org.intermine.model.bio.OntologyTerm
GO:0004721,,,1005390,,,,org.intermine.model.bio.GOTerm
GO:0004190,,,1005393,,,,org.intermine.model.bio.GOTerm
GO:0000119,,,1005400,,,,org.intermine.model.bio.GOTerm
GO:0016455,,,1005404,,,,org.intermine.model.bio.GOTerm
GO:0006546,,,1005417,,,,org.intermine.model.bio.GOTerm
GO:0004047,,,1005420,,,,org.intermine.model.bio.GOTerm
GO:0008173,,,1005433,,,,org.intermine.model.bio.GOTerm
,,,1005478,Cell division,,1000003,org.intermine.model.bio.OntologyTerm
GO:0051301,,,1005494,,,,org.intermine.model.bio.GOTerm
,,,1005536,Lipoyl,,1000003,org.intermine.model.bio.OntologyTerm
GO:0031405,,,1005539,,,,org.intermine.model.bio.GOTerm
GO:0005960,,,1005543,,,,org.intermine.model.bio.GOTerm
GO:0005758,,,1005557,,,,org.intermine.model.bio.GOTerm
GO:0016531,,,1005561,,,,org.intermine.model.bio.GOTerm
GO:0006825,,,1005564,,,,org.intermine.model.bio.GOTerm
,,,1005635,Translocation,,1000003,org.intermine.model.bio.OntologyTerm
GO:0045039,,,1005641,,,,org.intermine.model.bio.GOTerm
GO:0042719,,,1005644,,,,org.intermine.model.bio.GOTerm
GO:0065002,,,1005649,,,,org.intermine.model.bio.GOTerm
GO:0003905,,,1005697,,,,org.intermine.model.bio.GOTerm
GO:0004252,,,1005723,,,,org.intermine.model.bio.GOTerm
GO:0004176,,,1005726,,,,org.intermine.model.bio.GOTerm
,,,1005827,ANK repeat,,1000003,org.intermine.model.bio.OntologyTerm
,,,1005869,Topoisomerase,,1000003,org.intermine.model.bio.OntologyTerm
GO:0003774,,,1005925,,,,org.intermine.model.bio.GOTerm
GO:0016459,,,1005929,,,,org.intermine.model.bio.GOTerm
GO:0019856,,,1005978,,,,org.intermine.model.bio.GOTerm
GO:0004151,,,1005982,,,,org.intermine.model.bio.GOTerm
GO:0004518,,,1005992,,,,org.intermine.model.bio.GOTerm
GO:0006259,,,1005997,,,,org.intermine.model.bio.GOTerm
GO:0017176,,,1006021,,,,org.intermine.model.bio.GOTerm
GO:0006506,,,1006027,,,,org.intermine.model.bio.GOTerm
GO:0033014,,,1006178,,,,org.intermine.model.bio.GOTerm
GO:0004418,,,1006182,,,,org.intermine.model.bio.GOTerm
GO:0046080,,,1006214,,,,org.intermine.model.bio.GOTerm
GO:0016757,,,1006298,,,,org.intermine.model.bio.GOTerm
GO:0019835,,,1006349,,,,org.intermine.model.bio.GOTerm
GO:0009058,,,1006398,,,,org.intermine.model.bio.GOTerm
GO:0016769,,,1006402,,,,org.intermine.model.bio.GOTerm
GO:0030170,,,1006405,,,,org.intermine.model.bio.GOTerm
GO:0003870,,,1006410,,,,org.intermine.model.bio.GOTerm
,,,1006484,ATP synthesis,,1000003,org.intermine.model.bio.OntologyTerm
,,,1006485,CF(1),,1000003,org.intermine.model.bio.OntologyTerm
GO:0009396,,,1006500,,,,org.intermine.model.bio.GOTerm
GO:0004437,,,1006574,,,,org.intermine.model.bio.GOTerm
GO:0015934,,,1006600,,,,org.intermine.model.bio.GOTerm
GO:0003899,,,1006649,,,,org.intermine.model.bio.GOTerm
GO:0046983,,,1006685,,,,org.intermine.model.bio.GOTerm
GO:0006355,,,1006788,,,,org.intermine.model.bio.GOTerm
GO:0003702,,,1006794,,,,org.intermine.model.bio.GOTerm
GO:0004077,,,1006865,,,,org.intermine.model.bio.GOTerm
GO:0004605,,,1006887,,,,org.intermine.model.bio.GOTerm
GO:0008654,,,1006891,,,,org.intermine.model.bio.GOTerm
GO:0007264,,,1007031,,,,org.intermine.model.bio.GOTerm
GO:0044403,,,1007064,,,,org.intermine.model.bio.GOTerm
GO:0008033,,,1007192,,,,org.intermine.model.bio.GOTerm
GO:0004811,,,1007195,,,,org.intermine.model.bio.GOTerm
GO:0008168,,,1007275,,,,org.intermine.model.bio.GOTerm
GO:0004750,,,1007339,,,,org.intermine.model.bio.GOTerm
GO:0030286,,,1007349,,,,org.intermine.model.bio.GOTerm
GO:0003777,,,1007353,,,,org.intermine.model.bio.GOTerm
GO:0007018,,,1007356,,,,org.intermine.model.bio.GOTerm
GO:0005328,,,1007383,,,,org.intermine.model.bio.GOTerm
GO:0005887,,,1007387,,,,org.intermine.model.bio.GOTerm
GO:0006836,,,1007390,,,,org.intermine.model.bio.GOTerm
GO:0001503,,,1007414,,,,org.intermine.model.bio.GOTerm
GO:0007155,,,1007418,,,,org.intermine.model.bio.GOTerm
GO:0004148,,,1007477,,,,org.intermine.model.bio.GOTerm
GO:0000062,,,1007541,,,,org.intermine.model.bio.GOTerm
,,,1007608,Glycosidase,,1000003,org.intermine.model.bio.OntologyTerm
GO:0043169,,,1007614,,,,org.intermine.model.bio.GOTerm
GO:0004553,,,1007617,,,,org.intermine.model.bio.GOTerm
,,,1007639,Iron-sulfur,,1000003,org.intermine.model.bio.OntologyTerm
GO:0004713,,,1007667,,,,org.intermine.model.bio.GOTerm
GO:0008134,,,1007700,,,,org.intermine.model.bio.GOTerm
,,,1007733,DNA-directed DNA polymerase,,1000003,org.intermine.model.bio.OntologyTerm
GO:0006367,,,1007852,,,,org.intermine.model.bio.GOTerm
GO:0005669,,,1007855,,,,org.intermine.model.bio.GOTerm
GO:0008565,,,1007876,,,,org.intermine.model.bio.GOTerm
GO:0005743,,,1007880,,,,org.intermine.model.bio.GOTerm
GO:0015031,,,1007883,,,,org.intermine.model.bio.GOTerm
GO:0007067,,,1007957,,,,org.intermine.model.bio.GOTerm
GO:0010038,,,1008132,,,,org.intermine.model.bio.GOTerm
GO:0006432,,,1008143,,,,org.intermine.model.bio.GOTerm
GO:0004826,,,1008146,,,,org.intermine.model.bio.GOTerm
GO:0005875,,,1008155,,,,org.intermine.model.bio.GOTerm
GO:0007017,,,1008159,,,,org.intermine.model.bio.GOTerm
GO:0016671,,,1008197,,,,org.intermine.model.bio.GOTerm
GO:0006467,,,1008202,,,,org.intermine.model.bio.GOTerm
GO:0008479,,,1008272,,,,org.intermine.model.bio.GOTerm
GO:0008616,,,1008276,,,,org.intermine.model.bio.GOTerm
GO:0003963,,,1008288,,,,org.intermine.model.bio.GOTerm
GO:0004615,,,1008337,,,,org.intermine.model.bio.GOTerm
GO:0019307,,,1008343,,,,org.intermine.model.bio.GOTerm
GO:0000922,,,1008350,,,,org.intermine.model.bio.GOTerm
GO:0005815,,,1008354,,,,org.intermine.model.bio.GOTerm
GO:0000226,,,1008357,,,,org.intermine.model.bio.GOTerm
GO:0051246,,,1008491,,,,org.intermine.model.bio.GOTerm
GO:0019787,,,1008495,,,,org.intermine.model.bio.GOTerm
GO:0043687,,,1008498,,,,org.intermine.model.bio.GOTerm
GO:0016149,,,1008688,,,,org.intermine.model.bio.GOTerm
GO:0006415,,,1008691,,,,org.intermine.model.bio.GOTerm
GO:0005852,,,1008746,,,,org.intermine.model.bio.GOTerm
GO:0004831,,,1008783,,,,org.intermine.model.bio.GOTerm
GO:0006437,,,1008791,,,,org.intermine.model.bio.GOTerm
GO:0006813,,,1008813,,,,org.intermine.model.bio.GOTerm
GO:0015269,,,1008816,,,,org.intermine.model.bio.GOTerm
,,,1008823,Porphyrin biosynthesis,,1000003,org.intermine.model.bio.OntologyTerm
GO:0006779,,,1008826,,,,org.intermine.model.bio.GOTerm
GO:0004655,,,1008830,,,,org.intermine.model.bio.GOTerm
GO:0005215,,,1009062,,,,org.intermine.model.bio.GOTerm
GO:0015914,,,1009143,,,,org.intermine.model.bio.GOTerm
GO:0004012,,,1009146,,,,org.intermine.model.bio.GOTerm
GO:0015662,,,1009153,,,,org.intermine.model.bio.GOTerm
GO:0008233,,,1009200,,,,org.intermine.model.bio.GOTerm
,,,1009279,Potassium,,1000003,org.intermine.model.bio.OntologyTerm
GO:0005786,,,1009432,,,,org.intermine.model.bio.GOTerm
GO:0006614,,,1009435,,,,org.intermine.model.bio.GOTerm
GO:0030942,,,1009438,,,,org.intermine.model.bio.GOTerm
GO:0008312,,,1009441,,,,org.intermine.model.bio.GOTerm
GO:0045900,,,1009444,,,,org.intermine.model.bio.GOTerm
GO:0006950,,,1009496,,,,org.intermine.model.bio.GOTerm
GO:0003755,,,1009608,,,,org.intermine.model.bio.GOTerm
GO:0032313,,,1009641,,,,org.intermine.model.bio.GOTerm
GO:0005097,,,1009644,,,,org.intermine.model.bio.GOTerm
GO:0006520,,,1009657,,,,org.intermine.model.bio.GOTerm
GO:0030529,,,1009756,,,,org.intermine.model.bio.GOTerm
,,,1009768,Cobalt,,1000003,org.intermine.model.bio.OntologyTerm
GO:0004239,,,1009774,,,,org.intermine.model.bio.GOTerm
GO:0050897,,,1009777,,,,org.intermine.model.bio.GOTerm
GO:0005484,,,1009852,,,,org.intermine.model.bio.GOTerm
GO:0019867,,,1010144,,,,org.intermine.model.bio.GOTerm
GO:0051087,,,1010267,,,,org.intermine.model.bio.GOTerm
GO:0042803,,,1010270,,,,org.intermine.model.bio.GOTerm
GO:0000774,,,1010273,,,,org.intermine.model.bio.GOTerm
,,,1010301,Carbon dioxide fixation,,1000003,org.intermine.model.bio.OntologyTerm
,,,1010302,Tricarboxylic acid cycle,,1000003,org.intermine.model.bio.OntologyTerm
GO:0006099,,,1010305,,,,org.intermine.model.bio.GOTerm
GO:0015977,,,1010309,,,,org.intermine.model.bio.GOTerm
GO:0008964,,,1010312,,,,org.intermine.model.bio.GOTerm
GO:0004607,,,1010337,,,,org.intermine.model.bio.GOTerm
GO:0004852,,,1010365,,,,org.intermine.model.bio.GOTerm
GO:0045941,,,1010504,,,,org.intermine.model.bio.GOTerm
GO:0008159,,,1010508,,,,org.intermine.model.bio.GOTerm
GO:0000059,,,1010642,,,,org.intermine.model.bio.GOTerm
GO:0005643,,,1010647,,,,org.intermine.model.bio.GOTerm
GO:0016209,,,1010750,,,,org.intermine.model.bio.GOTerm
GO:0006914,,,1010777,,,,org.intermine.model.bio.GOTerm
GO:0004629,,,1010787,,,,org.intermine.model.bio.GOTerm
GO:0006071,,,1010790,,,,org.intermine.model.bio.GOTerm
GO:0008889,,,1010793,,,,org.intermine.model.bio.GOTerm
GO:0006801,,,1010802,,,,org.intermine.model.bio.GOTerm
GO:0004784,,,1010810,,,,org.intermine.model.bio.GOTerm
GO:0043087,,,1010905,,,,org.intermine.model.bio.GOTerm
GO:0016071,,,1010925,,,,org.intermine.model.bio.GOTerm
GO:0006511,,,1010937,,,,org.intermine.model.bio.GOTerm
GO:0004177,,,1010945,,,,org.intermine.model.bio.GOTerm
GO:0006388,,,1011006,,,,org.intermine.model.bio.GOTerm
GO:0000214,,,1011012,,,,org.intermine.model.bio.GOTerm
GO:0000213,,,1011015,,,,org.intermine.model.bio.GOTerm
GO:0006537,,,1011095,,,,org.intermine.model.bio.GOTerm
GO:0016639,,,1011102,,,,org.intermine.model.bio.GOTerm
GO:0015930,,,1011105,,,,org.intermine.model.bio.GOTerm
,,,1011159,Ubiquinone,,1000003,org.intermine.model.bio.OntologyTerm
GO:0004178,,,1011344,,,,org.intermine.model.bio.GOTerm
GO:0030145,,,1011350,,,,org.intermine.model.bio.GOTerm
GO:0016070,,,1011362,,,,org.intermine.model.bio.GOTerm
GO:0005839,,,1011394,,,,org.intermine.model.bio.GOTerm
GO:0004298,,,1011397,,,,org.intermine.model.bio.GOTerm
,,,1011435,Threonine protease,,1000003,org.intermine.model.bio.OntologyTerm
GO:0004089,,,1011461,,,,org.intermine.model.bio.GOTerm
GO:0006730,,,1011464,,,,org.intermine.model.bio.GOTerm
GO:0006512,,,1011475,,,,org.intermine.model.bio.GOTerm
GO:0004842,,,1011478,,,,org.intermine.model.bio.GOTerm
GO:0004802,,,1011525,,,,org.intermine.model.bio.GOTerm
GO:0004221,,,1011621,,,,org.intermine.model.bio.GOTerm
GO:0005874,,,1011833,,,,org.intermine.model.bio.GOTerm
GO:0051726,,,1011904,,,,org.intermine.model.bio.GOTerm
GO:0016538,,,1011907,,,,org.intermine.model.bio.GOTerm
GO:0051302,,,1011910,,,,org.intermine.model.bio.GOTerm
GO:0008060,,,1011935,,,,org.intermine.model.bio.GOTerm
